,PubDate,Crime,Shootings,Regulations,Background Checks,Background Checks Adjusted,Pro-Reg Count,Anti-Reg Count
0,2012-01-01,7.0,2.0,3.0,15622.0,2819.0,27.0,32.0
1,2012-01-02,,2.0,1.0,32754.0,433.0,39.0,21.0
2,2012-01-03,7.0,5.0,2.0,47401.0,-2519.0,24.0,25.0
3,2012-01-04,4.0,7.0,2.0,48021.0,-5677.0,41.0,30.0
4,2012-01-05,10.0,3.0,1.0,51367.0,-5104.0,12.0,28.0
5,2012-01-06,7.0,2.0,,57511.0,-8276.0,2.0,31.0
6,2012-01-07,13.0,7.0,1.0,55470.0,-4519.0,24.0,30.0
7,2012-01-08,9.0,11.0,2.0,23747.0,-589.0,28.0,24.0
8,2012-01-09,4.0,7.0,1.0,37730.0,-12337.0,45.0,25.0
9,2012-01-10,4.0,1.0,1.0,45727.0,-3539.0,51.0,24.0
10,2012-01-11,4.0,8.0,,51000.0,-3912.0,30.0,22.0
11,2012-01-12,12.0,1.0,,47045.0,-8917.0,37.0,24.0
12,2012-01-13,9.0,7.0,,55478.0,-10643.0,23.0,16.0
13,2012-01-14,5.0,5.0,,54296.0,-5810.0,51.0,25.0
14,2012-01-15,6.0,1.0,,23255.0,-1776.0,40.0,29.0
15,2012-01-16,7.0,,,31196.0,-18491.0,35.0,24.0
16,2012-01-17,4.0,4.0,,40772.0,-6340.0,39.0,32.0
17,2012-01-18,6.0,7.0,1.0,52302.0,-4040.0,66.0,33.0
18,2012-01-19,11.0,10.0,2.0,56554.0,-1764.0,71.0,21.0
19,2012-01-20,14.0,4.0,3.0,58461.0,-5884.0,16.0,32.0
20,2012-01-21,10.0,5.0,1.0,54408.0,-2683.0,38.0,30.0
21,2012-01-22,6.0,2.0,1.0,23999.0,-2878.0,47.0,41.0
22,2012-01-23,9.0,5.0,,42677.0,2136.0,28.0,28.0
23,2012-01-24,7.0,7.0,1.0,47255.0,-6882.0,35.0,40.0
24,2012-01-25,5.0,6.0,4.0,51722.0,-7954.0,14.0,25.0
25,2012-01-26,2.0,6.0,1.0,49442.0,-5014.0,2.0,16.0
26,2012-01-27,9.0,5.0,1.0,60743.0,-3091.0,67.0,35.0
27,2012-01-28,7.0,4.0,1.0,57005.0,-4105.0,21.0,39.0
28,2012-01-29,13.0,2.0,1.0,19380.0,38.0,41.0,34.0
29,2012-01-30,3.0,3.0,1.0,38462.0,-1597.0,68.0,46.0
30,2012-01-31,6.0,6.0,1.0,46499.0,-753.0,73.0,43.0
31,2012-02-01,4.0,3.0,2.0,62374.0,3147.0,41.0,37.0
32,2012-02-02,11.0,3.0,1.0,61330.0,1131.0,13.0,24.0
33,2012-02-03,16.0,5.0,1.0,77849.0,6599.0,21.0,21.0
34,2012-02-04,4.0,6.0,,74919.0,3059.0,11.0,34.0
35,2012-02-05,9.0,1.0,,27519.0,-3770.0,71.0,49.0
36,2012-02-06,5.0,,2.0,62164.0,7954.0,32.0,46.0
37,2012-02-07,10.0,3.0,1.0,61027.0,5008.0,41.0,33.0
38,2012-02-08,7.0,4.0,1.0,71764.0,6859.0,49.0,47.0
39,2012-02-09,7.0,6.0,1.0,66495.0,3730.0,27.0,35.0
40,2012-02-10,8.0,6.0,2.0,75435.0,1446.0,19.0,24.0
41,2012-02-11,9.0,1.0,2.0,77201.0,-924.0,33.0,30.0
42,2012-02-12,5.0,,1.0,35359.0,1166.0,57.0,50.0
43,2012-02-13,3.0,3.0,,54735.0,-1538.0,49.0,44.0
44,2012-02-14,8.0,2.0,1.0,58114.0,-3094.0,35.0,43.0
45,2012-02-15,5.0,3.0,,62491.0,-1527.0,30.0,51.0
46,2012-02-16,3.0,1.0,,64347.0,627.0,47.0,42.0
47,2012-02-17,6.0,4.0,,76971.0,2395.0,23.0,27.0
48,2012-02-18,2.0,6.0,,78639.0,5478.0,34.0,30.0
49,2012-02-19,6.0,4.0,3.0,30665.0,2982.0,69.0,33.0
50,2012-02-20,4.0,3.0,2.0,43443.0,-6272.0,25.0,36.0
51,2012-02-21,8.0,1.0,1.0,56336.0,-3265.0,35.0,30.0
52,2012-02-22,3.0,1.0,,62382.0,7186.0,24.0,38.0
53,2012-02-23,1.0,1.0,2.0,64256.0,-3319.0,23.0,31.0
54,2012-02-24,6.0,1.0,,73497.0,-4842.0,10.0,22.0
55,2012-02-25,2.0,4.0,2.0,76182.0,1699.0,11.0,42.0
56,2012-02-26,8.0,,,29880.0,1615.0,19.0,35.0
57,2012-02-27,2.0,4.0,,54209.0,-4271.0,400.0,44.0
58,2012-02-28,3.0,5.0,1.0,55190.0,-4853.0,100.0,37.0
59,2012-02-29,10.0,5.0,2.0,55130.0,-12870.0,59.0,27.0
60,2012-03-01,5.0,1.0,2.0,66088.0,-3865.0,136.0,33.0
61,2012-03-02,4.0,8.0,2.0,75652.0,-8055.0,46.0,23.0
62,2012-03-03,3.0,7.0,2.0,80798.0,-2036.0,224.0,46.0
63,2012-03-04,5.0,2.0,1.0,31023.0,-14812.0,213.0,52.0
64,2012-03-05,2.0,3.0,,59749.0,-3545.0,333.0,38.0
65,2012-03-06,6.0,8.0,3.0,58939.0,1410.0,251.0,40.0
66,2012-03-07,5.0,4.0,1.0,59823.0,-2799.0,131.0,48.0
67,2012-03-08,6.0,7.0,2.0,59821.0,-1888.0,196.0,19.0
68,2012-03-09,6.0,7.0,,71114.0,-128.0,92.0,29.0
69,2012-03-10,4.0,4.0,1.0,69878.0,-3890.0,304.0,33.0
70,2012-03-11,8.0,3.0,1.0,28547.0,-3490.0,224.0,35.0
71,2012-03-12,5.0,8.0,,51714.0,995.0,124.0,53.0
72,2012-03-13,13.0,8.0,1.0,56518.0,-2760.0,42.0,54.0
73,2012-03-14,9.0,9.0,,54304.0,-2923.0,42.0,34.0
