,PubDate,Crime,Shootings,Regulations,Background Checks,Background Checks Adjusted
0,2012-01-01,7.0,2.0,3.0,15622.0,2819.0
1,2012-01-08,50.0,37.0,9.0,316271.0,-26251.0
2,2012-01-15,44.0,30.0,2.0,314531.0,-46934.0
3,2012-01-22,58.0,32.0,8.0,317692.0,-42080.0
4,2012-01-29,52.0,35.0,9.0,328224.0,-24872.0
5,2012-02-05,53.0,27.0,6.0,388952.0,7816.0
6,2012-02-12,51.0,20.0,10.0,449445.0,25239.0
7,2012-02-19,33.0,23.0,4.0,425962.0,5323.0
8,2012-02-26,32.0,11.0,7.0,405976.0,-7198.0
9,2012-03-04,32.0,32.0,10.0,418090.0,-50762.0
10,2012-03-11,37.0,36.0,8.0,407871.0,-14330.0
11,2012-03-18,63.0,40.0,4.0,382358.0,-4365.0
12,2012-03-25,54.0,76.0,13.0,366196.0,-17853.0
13,2012-04-01,52.0,70.0,13.0,344728.0,-5509.0
14,2012-04-08,58.0,44.0,14.0,337380.0,-26840.0
15,2012-04-15,40.0,60.0,27.0,355383.0,4353.0
16,2012-04-22,37.0,43.0,13.0,343477.0,814.0
17,2012-04-29,60.0,20.0,7.0,325391.0,102.0
18,2012-05-06,36.0,19.0,11.0,325536.0,-8255.0
19,2012-05-13,54.0,29.0,4.0,317753.0,5423.0
20,2012-05-20,44.0,19.0,3.0,299023.0,-7431.0
21,2012-05-27,44.0,16.0,8.0,297827.0,6061.0
22,2012-06-03,42.0,22.0,5.0,252077.0,-21586.0
23,2012-06-10,45.0,22.0,2.0,307685.0,-9103.0
24,2012-06-17,35.0,29.0,3.0,311964.0,-9976.0
25,2012-06-24,49.0,20.0,7.0,288745.0,-17812.0
26,2012-07-01,51.0,27.0,14.0,276106.0,-16434.0
27,2012-07-08,28.0,23.0,6.0,266264.0,-13814.0
28,2012-07-15,46.0,23.0,1.0,307911.0,-16332.0
29,2012-07-22,42.0,78.0,22.0,309013.0,-25219.0
30,2012-07-29,63.0,119.0,61.0,320183.0,-2010.0
31,2012-08-05,57.0,44.0,18.0,330596.0,6283.0
32,2012-08-12,51.0,94.0,19.0,339139.0,-6377.0
33,2012-08-19,37.0,56.0,9.0,344029.0,-10257.0
34,2012-08-26,39.0,58.0,12.0,347622.0,-24777.0
35,2012-09-02,45.0,47.0,7.0,322887.0,688.0
36,2012-09-09,45.0,40.0,5.0,331752.0,-13476.0
37,2012-09-16,46.0,22.0,5.0,349190.0,-22425.0
38,2012-09-23,54.0,17.0,9.0,358574.0,-32806.0
39,2012-09-30,50.0,34.0,10.0,340162.0,-22058.0
40,2012-10-07,45.0,33.0,14.0,374054.0,-29145.0
41,2012-10-14,64.0,27.0,5.0,366140.0,-21029.0
42,2012-10-21,32.0,22.0,14.0,377502.0,-47240.0
43,2012-10-28,39.0,27.0,8.0,368303.0,-28915.0
44,2012-11-04,51.0,13.0,8.0,379396.0,-9973.0
45,2012-11-11,39.0,33.0,11.0,473787.0,38916.0
46,2012-11-18,30.0,23.0,3.0,452646.0,-7891.0
47,2012-11-25,32.0,15.0,3.0,516302.0,14597.0
48,2012-12-02,59.0,14.0,3.0,450420.0,-10125.0
49,2012-12-09,51.0,27.0,11.0,527095.0,24583.0
50,2012-12-16,47.0,72.0,56.0,602003.0,38824.0
51,2012-12-23,92.0,107.0,204.0,953613.0,245404.0
52,2012-12-30,50.0,50.0,83.0,499083.0,106030.6897
53,2013-01-06,50.0,40.0,66.0,497785.0,98559.0
54,2013-01-13,53.0,49.0,101.0,603882.0,151782.0
55,2013-01-20,69.0,32.0,190.0,641501.0,147828.0
56,2013-01-27,53.0,24.0,105.0,541822.0,109034.0
57,2013-02-03,65.0,34.0,95.0,509843.0,80752.0
58,2013-02-10,65.0,28.0,88.0,592542.0,89017.0
59,2013-02-17,68.0,36.0,99.0,618361.0,69822.0
60,2013-02-24,57.0,36.0,65.0,543259.0,34686.0
61,2013-03-03,65.0,15.0,69.0,565699.0,28702.0
62,2013-03-10,46.0,19.0,85.0,525221.0,7841.0
63,2013-03-17,47.0,27.0,63.0,526994.0,38931.0
64,2013-03-24,49.0,25.0,63.0,484234.0,1116.0
65,2013-03-31,58.0,38.0,52.0,427469.0,13365.0
66,2013-04-07,64.0,31.0,83.0,433696.0,7504.0
67,2013-04-14,48.0,23.0,95.0,415184.0,-5009.0
68,2013-04-21,48.0,31.0,104.0,392486.0,-32308.0
69,2013-04-28,52.0,27.0,41.0,366869.0,-21276.0
70,2013-05-05,53.0,25.0,47.0,373479.0,-5500.0
71,2013-05-12,63.0,18.0,34.0,342918.0,-23419.0
72,2013-05-19,48.0,40.0,39.0,313750.0,-49887.0
73,2013-05-26,44.0,29.0,27.0,305242.0,-28590.0
74,2013-06-02,55.0,35.0,42.0,269753.0,-41126.0
75,2013-06-09,63.0,42.0,27.0,324355.0,-26829.0
76,2013-06-16,41.0,35.0,31.0,316411.0,-40571.0
77,2013-06-23,47.0,27.0,26.0,288611.0,-48631.0
78,2013-06-30,34.0,35.0,20.0,288947.0,-35513.0
79,2013-07-07,40.0,27.0,23.0,258364.0,-45574.0
80,2013-07-14,47.0,36.0,43.0,293493.0,-42458.0
81,2013-07-21,71.0,38.0,37.0,301800.0,-40578.0
82,2013-07-28,66.0,29.0,21.0,295701.0,-32814.0
83,2013-08-04,50.0,21.0,24.0,314211.0,-27681.0
84,2013-08-11,43.0,40.0,19.0,306688.0,-35887.0
85,2013-08-18,80.0,21.0,11.0,319640.0,-23651.0
86,2013-08-25,56.0,66.0,15.0,312161.0,-21221.0
87,2013-09-01,53.0,40.0,16.0,318846.0,-32572.0
88,2013-09-08,50.0,36.0,21.0,290528.0,-33839.0
89,2013-09-15,39.0,16.0,33.0,326938.0,-23766.0
90,2013-09-22,58.0,73.0,43.0,336212.0,-8767.0
91,2013-09-29,66.0,34.0,27.0,376612.0,26510.0
92,2013-10-06,46.0,31.0,14.0,393963.0,-11167.0
93,2013-10-13,37.0,25.0,21.0,397676.0,35568.0
94,2013-10-20,56.0,13.0,20.0,380559.0,20510.0
95,2013-10-27,50.0,37.0,14.0,356405.0,-5819.0
96,2013-11-03,37.0,34.0,9.0,381603.0,-12325.0
97,2013-11-10,49.0,36.0,14.0,394861.0,-20608.0
98,2013-11-17,43.0,43.0,14.0,395721.0,-3338.0
99,2013-11-24,43.0,29.0,16.0,412784.0,-10131.0
100,2013-12-01,38.0,21.0,11.0,478731.0,-17712.0
101,2013-12-08,39.0,23.0,12.0,435261.0,-58477.0
102,2013-12-15,48.0,26.0,34.0,488117.0,-32057.0
103,2013-12-22,43.0,36.0,15.0,541380.0,-74713.0
104,2013-12-29,24.0,30.0,14.0,421013.0,-17358.742
105,2014-01-05,54.0,22.0,26.0,359259.0,-60163.0
106,2014-01-12,45.0,19.0,21.0,380823.0,-30433.0
107,2014-01-19,49.0,23.0,8.0,388844.0,-17470.0
108,2014-01-26,31.0,24.0,19.0,363589.0,-30733.0
109,2014-02-02,36.0,21.0,19.0,377421.0,-77249.0
110,2014-02-09,55.0,20.0,13.0,439136.0,-22957.0
111,2014-02-16,40.0,27.0,14.0,517734.0,32199.0
112,2014-02-23,47.0,17.0,11.0,492515.0,51508.0
113,2014-03-02,51.0,25.0,23.0,783620.0,209196.0
114,2014-03-09,40.0,22.0,16.0,697770.0,179143.0
115,2014-03-16,47.0,20.0,11.0,544344.0,83236.0
116,2014-03-23,58.0,24.0,16.0,473567.0,44107.0
117,2014-03-30,28.0,20.0,12.0,476686.0,42899.0
118,2014-04-06,36.0,54.0,19.0,437761.0,984.0
119,2014-04-13,43.0,38.0,8.0,412751.0,23394.0
120,2014-04-20,57.0,54.0,12.0,388048.0,18128.0
121,2014-04-27,59.0,36.0,28.0,395098.0,26145.0
122,2014-05-04,40.0,25.0,15.0,375977.0,-38988.0
123,2014-05-11,37.0,26.0,13.0,338787.0,-1813.0
124,2014-05-18,35.0,23.0,12.0,335026.0,5513.0
125,2014-05-25,40.0,26.0,13.0,317760.0,6113.0
126,2014-06-01,51.0,34.0,29.0,308409.0,-6811.0
127,2014-06-08,44.0,32.0,10.0,338101.0,-11674.0
128,2014-06-15,38.0,28.0,15.0,357287.0,20819.0
129,2014-06-22,54.0,21.0,20.0,298342.0,-29795.0
130,2014-06-29,37.0,16.0,13.0,321605.0,-12509.0
131,2014-07-06,42.0,44.0,21.0,280864.0,-25595.0
132,2014-07-13,58.0,47.0,14.0,319980.0,-11539.0
133,2014-07-20,53.0,29.0,10.0,332932.0,4045.0
134,2014-07-27,56.0,45.0,11.0,314351.0,-10808.0
135,2014-08-03,58.0,33.0,16.0,353039.0,11498.0
136,2014-08-10,49.0,32.0,24.0,334670.0,-2264.0
137,2014-08-17,72.0,97.0,9.0,334036.0,-8612.0
138,2014-08-24,73.0,98.0,7.0,356126.0,30569.0
139,2014-08-31,51.0,49.0,20.0,367771.0,13858.0
140,2014-09-07,56.0,44.0,12.0,348902.0,19070.0
141,2014-09-14,45.0,45.0,15.0,342905.0,-6471.0
142,2014-09-21,57.0,28.0,12.0,340375.0,-2576.0
143,2014-09-28,60.0,34.0,11.0,325776.0,-19958.0
144,2014-10-05,74.0,33.0,12.0,355677.0,-48307.0
145,2014-10-12,48.0,50.0,9.0,367920.0,-4782.0
146,2014-10-19,46.0,49.0,16.0,349609.0,-8882.0
147,2014-10-26,59.0,46.0,21.0,343799.0,-9429.0
