"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"THE STATE; Newsom targets gun control; Gubernatorial hopeful will reveal a ballot initiative to tighten state firearms law.","","Megerian, Chris","Los Angeles Times","Newspapers","","","","2015-10-15","Oct 15, 2015","B.4","","B.4","04583035","","","ENG","https://www.proquest.com/docview/1722088305?accountid=11226&bdid=72297&_bd=CyRWrpTyrKzkOgqVxe50EPzODiw%3D",""
"Editorial: Laws could prevent firearm thefts from gun shops and vehicles","","","St. Louis Post - Dispatch","Newspapers","","","","2017-12-01","Dec 1, 2017","A.12","","A.12","19309600","","","ENG","https://www.proquest.com/docview/1970633419?accountid=11226&bdid=72297&_bd=CaCnQbe%2BI3ULNXqoyZgogJYem7M%3D",""
"Dart aims to trace seized guns","Sheriff backs pilot program to track firearms used in county crimes","Sweeney, Annie","Chicago Tribune","Newspapers","","","","2013-04-29","Apr 29, 2013","1","","1.1","10856706","","","ENG","https://www.proquest.com/docview/1346567844?accountid=11226&bdid=72297&_bd=Up5naNyIyJ67HoCc30PUZePY7CQ%3D",""
"Congress Set To Consider Tighter Rules On Firearms","[National Desk]","Steinhauer, Jennifer","New York Times","Newspapers","","","","2013-02-24","Feb 24, 2013","A.15","","A.15","03624331","","","ENG","https://www.proquest.com/docview/1302020355?accountid=11226&bdid=72297&_bd=fc0eTAX08Ag4kgAml%2BRMvz58c2M%3D",""
"Missouri House tries to block U.S. firearms laws","","","St. Louis Post - Dispatch","Newspapers","","","","2013-04-25","Apr 25, 2013","A.13","","A.13","19309600","","","ENG","https://www.proquest.com/docview/1345889445?accountid=11226&bdid=72297&_bd=fQTCGy9YbXWQbK3h0STyuPS0osg%3D",""
"State Senate urges challenges to new federal firearms laws","","Hansen, Ronald J","Arizona Republic","Newspapers","","","","2015-03-11","Mar 11, 2015","A.5","","","08928711","","","ENG","https://www.proquest.com/docview/1662421974?accountid=11226&bdid=72297&_bd=nKFJY0KvHP3EpkWGiDlLzu61tpI%3D",""
"Firearms and Domestic Violence","[Editorial]","The Editorial Board","New York Times","Newspapers","","","","2013-03-21","Mar 21, 2013","A.26","","A.26","03624331","","","ENG","https://www.proquest.com/docview/1318045887?accountid=11226&bdid=72297&_bd=3XrimodOQfjqy3KDxJZ89e6xZrM%3D",""
"Shop Owners Report Rise in Firearm Sales as Buyers Fear Possible New Laws","[Metropolitan Desk]","Clifford, Stephanie","New York Times","Newspapers","","","","2012-12-22","Dec 22, 2012","A.20","","A.20","03624331","","","ENG","https://www.proquest.com/docview/1248144138?accountid=11226&bdid=72297&_bd=%2B%2BXtHFdCte%2FdFcPYiuy54TFRWLE%3D",""
"Rauner won't commit on gun retailer bill","Legislation requires licensing, training to sell firearms","Geiger, Kim; Byrne, John","Chicago Tribune","Newspapers","","","","2018-03-13","Mar 13, 2018","4","","","10856706","","","ENG","https://www.proquest.com/docview/2013117235?accountid=11226&bdid=72297&_bd=60gdH8oqkdIEO9u5kUoVvqDJyCo%3D",""
"Firearms part of culture in Newtown","Many residents against stricter gun-control laws","Bengali, Shashank","Chicago Tribune","Newspapers","","","","2012-12-20","Dec 20, 2012","18","","1.18","10856706","","","ENG","https://www.proquest.com/docview/1240875082?accountid=11226&bdid=72297&_bd=WiY8l8VfGFDTOMRT2cs9h0m7Xto%3D",""
