Date,Media.output.on.violent.crimes,Media.output.on.shootings,Media.output.on.firearm.regulations,Background.checks,Tweets.of.pro.regulation.organizations,Tweets.of.anti.regulation.organizations
1/1/12,-0.230361956,-2.352898221,0.064819291,-20880.43323,10.04559017,4.900604869
1/2/12,-3.468350488,-2.691753243,-0.596121293,-6392.895386,33.80659871,-3.178643325
1/3/12,0.29305519,0.17804915,0.495052859,4534.480732,-7.534003461,-4.040757227
1/4/12,-3.362858348,3.579762845,0.577983827,10822.71384,14.6882748,-0.23861749
1/5/12,3.766455579,-1.344010605,0.023943473,12877.51462,-15.97118587,2.342391104
1/6/12,1.864729695,-0.256875582,-0.637393206,12059.27417,-37.71777778,1.073395369
1/7/12,5.41633872,0.793592946,-0.23061427,10594.10663,-11.1964932,3.936102475
1/8/12,2.229691991,5.018436349,0.29226986,-18058.47961,-11.87989072,-3.169760203
1/9/12,-3.701124234,2.913197275,0.133914625,-5259.528825,15.06647225,0.42167205
1/10/12,-1.78044194,-2.555686593,0.307696088,-94.84036209,-16.94537778,0.570391195
1/11/12,-3.333470785,1.611688608,0.028118828,2536.171673,-17.7834623,-3.397746298
1/12/12,3.884347336,-3.55362935,-0.379674669,3060.0198,6.36545867,-4.453186003
1/13/12,0.713655564,2.091689896,-1.60253434,12163.1299,0.855765422,-6.756184914
1/14/12,-0.221004006,-0.213086496,-0.533313455,9030.702266,43.74189805,3.041945978
1/15/12,-1.642754617,-4.17308362,-0.477274375,-23590.0207,-6.37553168,-0.098438651
1/16/12,-1.183506391,-3.484734014,-0.599877691,-10644.22253,-1.04875009,-4.759272965
1/17/12,-3.724236601,-0.107892715,-0.437019267,-2514.8514,6.603072541,6.477940666
1/18/12,-0.497259017,4.190580286,0.706843988,4285.738898,11.37284369,0.423016886
1/19/12,3.15129372,3.827436869,0.88108542,9995.715514,31.68448883,-7.133811766
1/20/12,5.957466451,-1.415127776,1.297433794,13968.53012,-23.05859144,1.832916606
1/21/12,1.632848007,0.158601263,-0.199466218,8186.520938,-5.40688043,-0.022233791
1/22/12,-0.499135627,-2.264586604,-0.471351296,-23750.26064,-22.10188649,13.0230393
1/23/12,1.103548884,-0.481007275,-0.540051326,-6575.289275,-18.84236362,-2.332781687
1/24/12,-1.390917658,1.943616621,0.04687446,843.6497916,-4.560055006,3.535353974
1/25/12,-3.268723991,0.408493659,1.424629037,3727.50836,-3.170739665,-4.989359597
1/26/12,-4.415729348,1.436780551,-0.298954597,2425.951707,6.015375124,-10.74528107
1/27/12,1.960739395,-0.529018024,-0.008260399,12300.02213,14.01519938,-3.036024408
1/28/12,-0.657354351,0.486862734,-0.182183296,8981.789983,-8.95221645,2.026630377
1/29/12,5.704139841,-1.330450833,0.129279024,-29579.18742,16.24939598,5.587061544
