Date,Pro-Reg Tweets Daily,Anti-Reg Tweets Daily
2012-01-01,2,16.0
2012-01-02,14,25.0
2012-01-03,36,40.0
2012-01-04,28,28.0
2012-01-05,47,41.0
2012-01-06,39,30.0
2012-01-07,16,32.0
2012-01-08,72,21.0
2012-01-09,67,33.0
2012-01-10,39,32.0
2012-01-11,35,24.0
2012-01-12,40,29.0
2012-01-13,51,25.0
2012-01-14,23,16.0
2012-01-15,37,24.0
2012-01-16,30,22.0
2012-01-17,51,24.0
2012-01-18,45,25.0
2012-01-19,28,24.0
2012-01-20,24,30.0
2012-01-21,2,31.0
2012-01-22,12,28.0
2012-01-23,41,30.0
2012-01-24,24,25.0
2012-01-25,39,21.0
2012-01-26,27,32.0
2012-01-27,19,35.0
2012-01-28,11,42.0
2012-01-29,10,22.0
2012-01-30,23,31.0
2012-01-31,24,38.0
2012-02-01,35,30.0
2012-02-02,26,36.0
2012-02-03,73,33.0
2012-02-04,34,30.0
2012-02-05,23,27.0
2012-02-06,47,42.0
2012-02-07,30,51.0
2012-02-08,35,43.0
2012-02-09,49,44.0
2012-02-10,59,50.0
2012-02-11,33,30.0
2012-02-12,19,24.0
2012-02-13,27,35.0
2012-02-14,49,47.0
2012-02-15,41,33.0
2012-02-16,32,46.0
2012-02-17,72,49.0
2012-02-18,11,34.0
2012-02-19,21,21.0
2012-02-20,13,24.0
2012-02-21,41,37.0
2012-02-22,73,43.0
2012-02-23,68,46.0
2012-02-24,41,34.0
2012-02-25,21,39.0
2012-02-26,67,35.0
2012-02-27,85,43.0
2012-02-28,111,48.0
2012-02-29,66,45.0
2012-03-01,69,57.0
2012-03-02,65,40.0
2012-03-03,16,28.0
2012-03-04,7,26.0
2012-03-05,24,50.0
2012-03-06,28,36.0
2012-03-07,30,44.0
2012-03-08,34,43.0
2012-03-09,45,28.0
2012-03-10,8,47.0
2012-03-11,6,30.0
2012-03-12,42,34.0
2012-03-13,42,54.0
2012-03-14,124,53.0
2012-03-15,224,35.0
2012-03-16,304,33.0
2012-03-17,92,29.0
2012-03-18,196,19.0
2012-03-19,132,48.0
2012-03-20,253,40.0
2012-03-21,333,38.0
2012-03-22,214,52.0
2012-03-23,225,46.0
2012-03-24,46,23.0
2012-03-25,136,33.0
2012-03-26,60,27.0
2012-03-27,101,37.0
2012-03-28,401,44.0
2012-03-29,295,43.0
2012-03-30,201,27.0
2012-03-31,168,18.0
2012-04-01,40,20.0
2012-04-02,115,27.0
2012-04-03,244,26.0
2012-04-04,227,32.0
2012-04-05,202,66.0
2012-04-06,176,51.0
2012-04-07,131,23.0
2012-04-08,76,33.0
2012-04-09,164,31.0
2012-04-10,152,35.0
2012-04-11,150,27.0
2012-04-12,180,32.0
2012-04-13,349,59.0
2012-04-14,83,41.0
2012-04-15,79,28.0
2012-04-16,79,28.0
2012-04-17,111,43.0
2012-04-18,77,51.0
2012-04-19,78,44.0
2012-04-20,55,43.0
2012-04-21,31,19.0
2012-04-22,20,16.0
2012-04-23,188,47.0
2012-04-24,63,46.0
2012-04-25,138,45.0
2012-04-26,146,41.0
2012-04-27,122,51.0
2012-04-28,16,18.0
2012-04-29,19,20.0
2012-04-30,61,35.0
2012-05-01,62,39.0
2012-05-02,47,31.0
2012-05-03,131,32.0
2012-05-04,126,36.0
2012-05-05,38,19.0
2012-05-06,59,14.0
2012-05-07,97,30.0
2012-05-08,93,43.0
2012-05-09,120,40.0
2012-05-10,129,30.0
2012-05-11,126,42.0
2012-05-12,18,19.0
2012-05-13,40,25.0
2012-05-14,111,30.0
2012-05-15,69,40.0
2012-05-16,125,45.0
2012-05-17,45,43.0
2012-05-18,110,38.0
2012-05-19,102,38.0
2012-05-20,89,24.0
2012-05-21,42,23.0
2012-05-22,109,48.0
2012-05-23,149,39.0
2012-05-24,95,27.0
2012-05-25,29,26.0
2012-05-26,14,33.0
2012-05-27,0,26.0
2012-05-28,9,8.0
2012-05-29,30,22.0
2012-05-30,166,28.0
2012-05-31,68,31.0
2012-06-01,123,37.0
2012-06-02,30,23.0
2012-06-03,20,26.0
2012-06-04,24,26.0
2012-06-05,26,49.0
2012-06-06,40,33.0
2012-06-07,28,39.0
2012-06-08,85,24.0
2012-06-09,22,21.0
2012-06-10,26,27.0
2012-06-11,34,33.0
2012-06-12,73,31.0
2012-06-13,48,33.0
2012-06-14,38,35.0
