,Date,Pro-Reg Tweets Weekly,Anti-Reg Tweets Weekly
0,2012-01-01,2,16
1,2012-01-08,252,217
2,2012-01-15,292,183
3,2012-01-22,192,184
4,2012-01-29,171,207
5,2012-02-05,238,225
6,2012-02-12,272,284
7,2012-02-19,253,265
8,2012-02-26,324,258
9,2012-03-04,419,287
10,2012-03-11,175,278
11,2012-03-18,1024,257
12,2012-03-25,1339,280
13,2012-04-01,1266,216
14,2012-04-08,1171,258
15,2012-04-15,1157,253
16,2012-04-22,451,244
17,2012-04-29,692,268
18,2012-05-06,524,206
19,2012-05-13,623,229
20,2012-05-20,651,258
21,2012-05-27,438,222
22,2012-06-03,446,175
23,2012-06-10,251,219
24,2012-06-17,264,209
25,2012-06-24,233,264
26,2012-07-01,396,345
27,2012-07-08,88,248
28,2012-07-15,190,237
29,2012-07-22,1163,229
30,2012-07-29,844,234
31,2012-08-05,677,242
32,2012-08-12,912,491
33,2012-08-19,895,274
34,2012-08-26,802,223
35,2012-09-02,447,247
36,2012-09-09,399,201
37,2012-09-16,474,201
38,2012-09-23,279,200
39,2012-09-30,251,228
40,2012-10-07,344,208
41,2012-10-14,257,182
42,2012-10-21,248,218
43,2012-10-28,351,216
44,2012-11-04,155,226
45,2012-11-11,486,211
46,2012-11-18,319,196
47,2012-11-25,299,150
48,2012-12-02,457,181
49,2012-12-09,858,218
50,2012-12-16,1230,235
51,2012-12-23,1010,397
52,2012-12-30,573,274
53,2013-01-06,710,443
54,2013-01-13,952,433
55,2013-01-20,913,380
56,2013-01-27,895,319
57,2013-02-03,1118,374
58,2013-02-10,669,265
59,2013-02-17,1113,287
60,2013-02-24,880,253
61,2013-03-03,757,268
62,2013-03-10,634,265
63,2013-03-17,785,251
64,2013-03-24,656,323
65,2013-03-31,628,328
66,2013-04-07,916,379
67,2013-04-14,704,402
68,2013-04-21,923,348
69,2013-04-28,703,182
70,2013-05-05,648,257
71,2013-05-12,651,204
72,2013-05-19,488,171
73,2013-05-26,440,217
