,Date,Pro-Reg Tweets Weekly,Anti-Reg Tweets Weekly
0,2012-01-01 00:00:00+00:00,2,16
1,2012-01-08 00:00:00+00:00,252,217
2,2012-01-15 00:00:00+00:00,292,183
3,2012-01-22 00:00:00+00:00,192,184
4,2012-01-29 00:00:00+00:00,171,207
5,2012-02-05 00:00:00+00:00,238,225
6,2012-02-12 00:00:00+00:00,272,284
7,2012-02-19 00:00:00+00:00,253,265
8,2012-02-26 00:00:00+00:00,324,258
9,2012-03-04 00:00:00+00:00,419,287
10,2012-03-11 00:00:00+00:00,175,278
11,2012-03-18 00:00:00+00:00,1024,257
12,2012-03-25 00:00:00+00:00,1339,280
13,2012-04-01 00:00:00+00:00,1266,216
14,2012-04-08 00:00:00+00:00,1171,258
15,2012-04-15 00:00:00+00:00,1157,253
16,2012-04-22 00:00:00+00:00,451,244
17,2012-04-29 00:00:00+00:00,692,268
18,2012-05-06 00:00:00+00:00,524,206
19,2012-05-13 00:00:00+00:00,623,229
20,2012-05-20 00:00:00+00:00,651,258
21,2012-05-27 00:00:00+00:00,438,222
22,2012-06-03 00:00:00+00:00,446,175
23,2012-06-10 00:00:00+00:00,251,219
24,2012-06-17 00:00:00+00:00,264,209
25,2012-06-24 00:00:00+00:00,233,264
26,2012-07-01 00:00:00+00:00,396,345
27,2012-07-08 00:00:00+00:00,88,248
28,2012-07-15 00:00:00+00:00,190,237
29,2012-07-22 00:00:00+00:00,1163,229
30,2012-07-29 00:00:00+00:00,844,234
31,2012-08-05 00:00:00+00:00,677,242
32,2012-08-12 00:00:00+00:00,912,491
33,2012-08-19 00:00:00+00:00,895,274
34,2012-08-26 00:00:00+00:00,802,223
35,2012-09-02 00:00:00+00:00,447,247
36,2012-09-09 00:00:00+00:00,399,201
37,2012-09-16 00:00:00+00:00,474,201
38,2012-09-23 00:00:00+00:00,279,200
39,2012-09-30 00:00:00+00:00,251,228
40,2012-10-07 00:00:00+00:00,344,208
41,2012-10-14 00:00:00+00:00,257,182
42,2012-10-21 00:00:00+00:00,248,218
43,2012-10-28 00:00:00+00:00,351,216
44,2012-11-04 00:00:00+00:00,155,226
45,2012-11-11 00:00:00+00:00,486,211
46,2012-11-18 00:00:00+00:00,319,196
47,2012-11-25 00:00:00+00:00,299,150
48,2012-12-02 00:00:00+00:00,457,181
49,2012-12-09 00:00:00+00:00,858,218
50,2012-12-16 00:00:00+00:00,1230,235
51,2012-12-23 00:00:00+00:00,1010,397
52,2012-12-30 00:00:00+00:00,573,274
53,2013-01-06 00:00:00+00:00,710,443
54,2013-01-13 00:00:00+00:00,952,433
55,2013-01-20 00:00:00+00:00,913,380
56,2013-01-27 00:00:00+00:00,895,319
57,2013-02-03 00:00:00+00:00,1118,374
58,2013-02-10 00:00:00+00:00,669,265
59,2013-02-17 00:00:00+00:00,1113,287
60,2013-02-24 00:00:00+00:00,880,253
61,2013-03-03 00:00:00+00:00,757,268
62,2013-03-10 00:00:00+00:00,634,265
63,2013-03-17 00:00:00+00:00,785,251
64,2013-03-24 00:00:00+00:00,656,323
65,2013-03-31 00:00:00+00:00,628,328
66,2013-04-07 00:00:00+00:00,916,379
67,2013-04-14 00:00:00+00:00,704,402
68,2013-04-21 00:00:00+00:00,923,348
69,2013-04-28 00:00:00+00:00,703,182
70,2013-05-05 00:00:00+00:00,648,257
71,2013-05-12 00:00:00+00:00,651,204
72,2013-05-19 00:00:00+00:00,488,171
73,2013-05-26 00:00:00+00:00,440,217
74,2013-06-02 00:00:00+00:00,499,99
75,2013-06-09 00:00:00+00:00,596,201
76,2013-06-16 00:00:00+00:00,661,214
77,2013-06-23 00:00:00+00:00,414,250
78,2013-06-30 00:00:00+00:00,213,298
79,2013-07-07 00:00:00+00:00,403,211
80,2013-07-14 00:00:00+00:00,512,251
81,2013-07-21 00:00:00+00:00,609,279
82,2013-07-28 00:00:00+00:00,450,298
83,2013-08-04 00:00:00+00:00,464,248
84,2013-08-11 00:00:00+00:00,695,291
85,2013-08-18 00:00:00+00:00,498,206
86,2013-08-25 00:00:00+00:00,890,240
87,2013-09-01 00:00:00+00:00,398,298
88,2013-09-08 00:00:00+00:00,367,249
89,2013-09-15 00:00:00+00:00,361,300
90,2013-09-22 00:00:00+00:00,583,293
91,2013-09-29 00:00:00+00:00,250,298
92,2013-10-06 00:00:00+00:00,253,339
93,2013-10-13 00:00:00+00:00,302,342
94,2013-10-20 00:00:00+00:00,342,244
95,2013-10-27 00:00:00+00:00,421,262
96,2013-11-03 00:00:00+00:00,408,276
97,2013-11-10 00:00:00+00:00,444,303
98,2013-11-17 00:00:00+00:00,536,263
99,2013-11-24 00:00:00+00:00,602,273
100,2013-12-01 00:00:00+00:00,420,264
101,2013-12-08 00:00:00+00:00,536,224
102,2013-12-15 00:00:00+00:00,723,249
103,2013-12-22 00:00:00+00:00,475,267
104,2013-12-29 00:00:00+00:00,165,185
105,2014-01-05 00:00:00+00:00,348,259
106,2014-01-12 00:00:00+00:00,347,304
107,2014-01-19 00:00:00+00:00,769,356
108,2014-01-26 00:00:00+00:00,570,294
109,2014-02-02 00:00:00+00:00,673,351
110,2014-02-09 00:00:00+00:00,495,285
111,2014-02-16 00:00:00+00:00,474,288
112,2014-02-23 00:00:00+00:00,615,311
113,2014-03-02 00:00:00+00:00,502,301
114,2014-03-09 00:00:00+00:00,368,354
115,2014-03-16 00:00:00+00:00,551,273
116,2014-03-23 00:00:00+00:00,510,215
117,2014-03-30 00:00:00+00:00,247,306
118,2014-04-06 00:00:00+00:00,327,330
119,2014-04-13 00:00:00+00:00,306,198
120,2014-04-20 00:00:00+00:00,240,219
121,2014-04-27 00:00:00+00:00,490,320
122,2014-05-04 00:00:00+00:00,517,218
123,2014-05-11 00:00:00+00:00,525,187
124,2014-05-18 00:00:00+00:00,606,225
125,2014-05-25 00:00:00+00:00,556,250
126,2014-06-01 00:00:00+00:00,609,239
127,2014-06-08 00:00:00+00:00,503,255
128,2014-06-15 00:00:00+00:00,603,271
129,2014-06-22 00:00:00+00:00,483,227
130,2014-06-29 00:00:00+00:00,445,142
131,2014-07-06 00:00:00+00:00,265,184
132,2014-07-13 00:00:00+00:00,213,143
133,2014-07-20 00:00:00+00:00,230,99
134,2014-07-27 00:00:00+00:00,192,135
135,2014-08-03 00:00:00+00:00,386,203
136,2014-08-10 00:00:00+00:00,289,160
137,2014-08-17 00:00:00+00:00,278,119
138,2014-08-24 00:00:00+00:00,362,171
139,2014-08-31 00:00:00+00:00,353,192
140,2014-09-07 00:00:00+00:00,264,209
141,2014-09-14 00:00:00+00:00,264,189
142,2014-09-21 00:00:00+00:00,346,142
143,2014-09-28 00:00:00+00:00,316,155
144,2014-10-05 00:00:00+00:00,256,127
145,2014-10-12 00:00:00+00:00,336,130
146,2014-10-19 00:00:00+00:00,368,130
147,2014-10-26 00:00:00+00:00,483,150
148,2014-11-02 00:00:00+00:00,426,195
149,2014-11-09 00:00:00+00:00,508,181
150,2014-11-16 00:00:00+00:00,312,120
151,2014-11-23 00:00:00+00:00,415,184
152,2014-11-30 00:00:00+00:00,211,110
153,2014-12-07 00:00:00+00:00,288,78
154,2014-12-14 00:00:00+00:00,488,113
155,2014-12-21 00:00:00+00:00,573,118
156,2014-12-28 00:00:00+00:00,338,81
157,2015-01-04 00:00:00+00:00,261,81
