"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"LAPD Drops Controversial Predictive Policing Tool","","Puente, Mark","Los Angeles Times","Newspapers","","","","2019-04-06","Apr 6, 2019","B.1","","B.1","","","","ENG","https://www.proquest.com/docview/2262929268?accountid=11226&bdid=72302&_bd=UjK8TDYg2tEZsc96OLE4G6SBEjU%3D",""
"Murders, Shootings Rise --- Gang-related violence is behind the increase, NYPD says; crime levels remain at historic lows","","Chapman, Ben; Honan, Katie","Wall Street Journal","Newspapers","","","","2019-11-07","Nov 7, 2019","A.10A","","","00999660","","","ENG","https://www.proquest.com/docview/2312454960?accountid=11226&bdid=72302&_bd=xAt4uc1usrjntDctbOT5OY3T4aI%3D",""
"Buckeye police misclassified crime data","","Burkitt, Bree","Arizona Republic","Newspapers","","","","2019-06-09","Jun 9, 2019","A.1","","","08928711","","","ENG","https://www.proquest.com/docview/2237061755?accountid=11226&bdid=72302&_bd=cL97NgnJkB4rBlrYcjLVrH0CQSs%3D",""
"LAPD told to scale back vehicle stops; Garcetti orders move after Times discovers high numbers of black drivers being pulled over by Metro unit.","","Chang, Cindy; Poston, Ben","Los Angeles Times","Newspapers","","","","2019-02-07","Feb 7, 2019","B.1","","B.1","04583035","","","ENG","https://www.proquest.com/docview/2176605861?accountid=11226&bdid=72302&_bd=7FmbtLpDak3y9gqzAOLYLwdii0M%3D",""
"Drug Arrests Are Increasing, Even As Opinion Shifts in Favor of Legalization","","Stellin, Susan","New York Times","Newspapers","","","","2019-11-08","Nov 8, 2019","A.20","","A.20","","","","ENG","https://www.proquest.com/docview/2313428771?accountid=11226&bdid=72302&_bd=WBSK1a5gftixgJfa0k2hE41kdK8%3D",""
"Working toward safer streets","","Schmitt, Eric","St. Louis Post - Dispatch","Newspapers","","","","2019-02-06","Feb 6, 2019","A.15","","","19309600","","","ENG","https://www.proquest.com/docview/2176225565?accountid=11226&bdid=72302&_bd=Hqqro%2FHhlOrhQXQcJZu8wkzfm0Y%3D",""
"Gang Feuds Spur Rising Violence in Pockets of Brooklyn","","Watkins, Ali","New York Times","Newspapers","","","","2019-05-30","May 30, 2019","A.23","","","","","","ENG","https://www.proquest.com/docview/2266166317?accountid=11226&bdid=72302&_bd=hkZubbdVC24jZwxZ9KxA5%2F5lQ3k%3D",""
"Knifings Surge, and Many in Britain Are Blaming Austerity","[Foreign Desk]","Mueller, Benjamin","New York Times","Newspapers","","","","2019-03-07","Mar 7, 2019","A.4","","A.4","03624331","","","ENG","https://www.proquest.com/docview/2188519529?accountid=11226&bdid=72302&_bd=Cbm160dvBfY9gnQg58syPeQalv0%3D",""
"Study sees higher risk in gun buyers with a prior DUI; Such purchasers are more likely to be arrested in a violent crime, research finds.","","Healy, Melissa","Los Angeles Times","Newspapers","","","","2019-10-04","Oct 4, 2019","B.1","","B.1","04583035","","","ENG","https://www.proquest.com/docview/2300505427?accountid=11226&bdid=72302&_bd=09MmxyBDUsgOhy3GIVDgj3Ua0AE%3D",""
"Not all cities are part of Ariz. population boom","People leave small towns for bigger opportunities","Fifield, Jen","Arizona Republic","Newspapers","","","","2019-06-04","Jun 4, 2019","A.1","","","08928711","","","ENG","https://www.proquest.com/docview/2234406497?accountid=11226&bdid=72302&_bd=tl3q%2BH9jB2G8ETPS2Sivylpxlxo%3D",""
"New St. Louis County prosecutor wants to fight crime by addressing addiction and mental health","","Currier, Joel","St. Louis Post - Dispatch","Newspapers","","","","2019-01-09","Jan 9, 2019","A.1","","","19309600","","","ENG","https://www.proquest.com/docview/2165078674?accountid=11226&bdid=72302&_bd=rF9G53CZK0LRU%2FkxF5NTjK54S%2Bw%3D",""
"A Fairy Tale in Brooklyn Ends Without a Happily Ever After","[National Desk]","Watkins, Ali; Lee, Christopher","New York Times","Newspapers","","","","2019-07-28","Jul 28, 2019","A.1","","A.1","03624331","","","ENG","https://www.proquest.com/docview/2264860998?accountid=11226&bdid=72302&_bd=1aTf0ddgCnICuwmtrLu2wZMHvFk%3D",""
"Editorial: When violent crime requires bold leadership, Krewson ducks for cover","","","St. Louis Post - Dispatch","Newspapers","","","","2019-10-01","Oct 1, 2019","A.8","","","19309600","","","ENG","https://www.proquest.com/docview/2299433128?accountid=11226&bdid=72302&_bd=NVjJ9JeqDSTdztATIiaMnTpBBqc%3D",""
"2019 Pulitzer Prize Winners","[Metropolitan Desk]","","New York Times","Newspapers","","","","2019-04-16","Apr 16, 2019","A.20","","A.20","03624331","","","ENG","https://www.proquest.com/docview/2209829327?accountid=11226&bdid=72302&_bd=Jc5yCfTQYTJGyAxF9OFkkHB%2F0W0%3D",""
"Police expand number of detective divisions","With 5 rather than 3, CPD aims to cut response times","Villagomez, Jessica","Chicago Tribune","Newspapers","","","","2019-12-18","Dec 18, 2019","5","","","10856706","","","ENG","https://www.proquest.com/docview/2327832214?accountid=11226&bdid=72302&_bd=a5Ib1FgwaJDcxeyZSKIuNzZYwug%3D",""
"Pastors confront violent crime","","","St. Louis Post - Dispatch","Newspapers","","","","2019-03-15","Mar 15, 2019","A.4","","","19309600","","","ENG","https://www.proquest.com/docview/2191336451?accountid=11226&bdid=72302&_bd=a%2Fl4KwT04Dkv6g5Fh6WbkpQ8dF8%3D",""
"Biden Reckons with a History of Filling Jails","","Stolberg, Sheryl Gay; Herndon, Astead W","New York Times","Newspapers","","","","2019-06-26","Jun 26, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2302100413?accountid=11226&bdid=72302&_bd=KzswKpeCMMn%2FvaZvBUkr2pQOIpk%3D",""
"Slain student was gun control advocate; Victor McElhaney, who was shot Sunday, is remembered for his love of percussion and advocacy for others.","","Newberry, Laura; Hussain, Suhauna; Panzar, Javier; Winton, Richard","Los Angeles Times","Newspapers","","","","2019-03-12","Mar 12, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2189919012?accountid=11226&bdid=72302&_bd=sHfdBUVL%2FH1xrvgSYBr804tyY0c%3D",""
"New York Still Safest Big City, Despite Rise in Reported Rapes and Hate Crimes","[Metropolitan Desk]","Pager, Tyler","New York Times","Newspapers","","","","2019-01-01","Jan 1, 2019","A.17","","","03624331","","","ENG","https://www.proquest.com/docview/2161877616?accountid=11226&bdid=72302&_bd=juFYJ%2Brewmh4iWv3Vy4NWc6CKMM%3D",""
"Serious crime swells on 'L' despite more cameras [Corrected 09/19/2019]","Arrest rates dropped for these violations, a Tribune analysis shows","Mahr, Joe; Wisniewski, Mary","Chicago Tribune","Newspapers","","","","2019-09-19","Sep 19, 2019","1","","","10856706","","","ENG","https://www.proquest.com/docview/2292815927?accountid=11226&bdid=72302&_bd=4WKV%2BWR1Oe4jkeJ%2BYFPGHyHBzG8%3D",""
