Date,media_output_on_violent_crime,media_output_on_shootings,media_output_on_firearm_regulations,background_checks,pro_regulation_tweets,anti_regulation_tweets
1/1/12,7,2,3,15622,2,16
1/8/12,50,37,9,316271,252,217
1/15/12,44,30,2,314531,292,183
1/22/12,58,32,8,317692,192,184
1/29/12,52,35,9,328224,171,207
2/5/12,53,27,6,388952,238,225
2/12/12,51,20,10,449445,272,284
2/19/12,33,23,4,425962,253,265
2/26/12,32,11,7,405976,324,258
3/4/12,32,32,10,418090,419,287
3/11/12,37,36,8,407871,175,278
3/18/12,63,40,4,382358,1024,257
3/25/12,54,76,13,366196,1339,280
4/1/12,52,70,13,344728,1266,216
4/8/12,58,44,14,337380,1171,258
4/15/12,40,60,27,355383,1157,253
4/22/12,37,43,13,343477,451,244
4/29/12,60,20,7,325391,692,268
5/6/12,36,19,11,325536,524,206
5/13/12,54,29,4,317753,623,229
5/20/12,44,19,3,299023,651,258
5/27/12,44,16,8,297827,438,222
6/3/12,42,22,5,252077,446,175
6/10/12,45,22,2,307685,251,219
6/17/12,35,29,3,311964,264,209
6/24/12,49,20,7,288745,233,204
7/1/12,51,27,14,276106,396,221
7/8/12,28,23,6,266264,88,192
7/15/12,46,23,1,307911,190,205
7/22/12,42,78,22,309013,1163,206
7/29/12,63,119,61,320183,844,209
8/5/12,57,44,18,330596,677,175
8/12/12,51,94,19,339139,912,227
8/19/12,37,56,9,344029,895,170
8/26/12,39,58,12,347622,802,221
9/2/12,45,47,7,322887,447,245
9/9/12,45,40,5,331752,399,200
9/16/12,46,22,5,349190,474,200
9/23/12,54,17,9,358574,279,200
9/30/12,50,34,10,340162,251,228
10/7/12,45,33,14,374054,344,205
10/14/12,64,27,5,366140,257,182
10/21/12,32,22,14,377502,248,216
10/28/12,39,27,8,368303,351,216
11/4/12,51,13,8,379396,155,225
11/11/12,39,33,11,473787,486,211
11/18/12,30,23,3,452646,319,196
11/25/12,32,15,3,516302,299,149
12/2/12,59,14,3,450420,457,180
12/9/12,51,27,11,527095,858,214
12/16/12,47,72,56,602003,1230,223
12/23/12,92,107,204,953613,1010,333
12/30/12,50,50,83,499083,573,233
1/6/13,50,40,66,497785,710,299
1/13/13,53,49,101,603882,952,316
1/20/13,69,32,190,641501,913,314
1/27/13,53,24,105,541822,895,268
2/3/13,65,34,95,509843,1118,310
2/10/13,65,28,88,592542,669,211
2/17/13,68,36,99,618361,1113,238
2/24/13,57,36,65,543259,880,197
3/3/13,65,15,69,565699,757,242
3/10/13,46,19,85,525221,634,243
3/17/13,47,27,63,526994,785,224
3/24/13,49,25,63,484234,656,289
3/31/13,58,38,52,427469,628,310
4/7/13,64,31,83,433696,916,321
4/14/13,48,23,95,415184,704,377
4/21/13,48,31,104,392486,923,297
4/28/13,52,27,41,366869,703,158
5/5/13,53,25,47,373479,648,227
5/12/13,63,18,34,342918,651,188
5/19/13,48,40,39,313750,488,158
5/26/13,44,29,27,305242,440,194
6/2/13,55,35,42,269753,499,78
6/9/13,63,42,27,324355,596,177
6/16/13,41,35,31,316411,661,187
6/23/13,47,27,26,288611,414,202
6/30/13,34,35,20,288947,213,218
7/7/13,40,27,23,258364,403,164
7/14/13,47,36,43,293493,512,207
7/21/13,71,38,37,301800,609,201
7/28/13,66,29,21,295701,450,154
8/4/13,50,21,24,314211,464,193
8/11/13,43,40,19,306688,695,250
8/18/13,80,21,11,319640,498,193
8/25/13,56,66,15,312161,890,217
9/1/13,53,40,16,318846,398,246
9/8/13,50,36,21,290528,367,212
9/15/13,39,16,33,326938,361,252
9/22/13,58,73,43,336212,583,240
9/29/13,66,34,27,376612,250,251
10/6/13,46,31,14,393963,253,269
10/13/13,37,25,21,397676,302,311
10/20/13,56,13,20,380559,342,232
10/27/13,50,37,14,356405,421,246
11/3/13,37,34,9,381603,408,275
11/10/13,49,36,14,394861,444,286
11/17/13,43,43,14,395721,536,245
11/24/13,43,29,16,412784,602,241
12/1/13,38,21,11,478731,420,256
12/8/13,39,23,12,435261,536,210
12/15/13,48,26,34,488117,723,218
12/22/13,43,36,15,541380,475,228
12/29/13,24,30,14,421013,165,177
1/5/14,54,22,26,359259,348,244
1/12/14,45,19,21,380823,347,264
1/19/14,49,23,8,388844,769,319
1/26/14,31,24,19,363589,570,257
2/2/14,36,21,19,377421,673,282
2/9/14,55,20,13,439136,495,261
2/16/14,40,27,14,517734,474,258
2/23/14,47,17,11,492515,615,280
3/2/14,51,25,23,783620,502,287
3/9/14,40,22,16,697770,368,316
