Date,media_output_on_violent_crime,media_output_on_shootings,media_output_on_firearm_regulations,background_checks,pro_regulation_tweets,anti_regulation_tweets
1/1/12,-38.98853213,-25.38925154,-3.608534323,-313390.1158,-225.1576994,-181.9727891
1/8/12,3.972964314,9.490420409,2.224427953,-13600.43103,1.350587508,16.47244898
1/15/12,-2.065539239,2.37009236,-4.942609771,-16199.74625,17.85887446,-20.08231293
1/22/12,11.89595721,4.249764311,0.890352505,-13898.06147,-105.6328386,-21.63707483
1/29/12,5.857453655,7.129436262,1.72331478,-4225.376694,-150.1245516,-1.191836735
2/5/12,6.818950102,-0.990891787,-1.443722944,55643.30808,-106.6162647,14.25340136
2/12/12,4.780446549,-8.111219836,2.389239332,115276.9929,-96.10797774,70.69863946
2/19/12,-13.258057,-5.231547885,-3.777798392,90934.67764,-138.5996908,49.14387755
2/26/12,-14.29656056,-17.35187593,-0.944836116,70089.36242,-91.09140383,39.58911565
3/4/12,-14.33506411,3.527796017,1.88812616,81344.04719,-19.58311688,66.03435374
3/11/12,-9.373567663,7.407467968,-0.278911565,70265.73197,-287.0748299,54.47959184
3/18/12,16.58893781,11.28713992,-4.562358277,44614.64669,537.4786642,31.74015667
3/25/12,7.551541387,47.16681187,4.132426304,28515.09328,830.1865595,53.28056071
4/1/12,5.513996801,41.04159003,3.848526077,7268.89781,737.8016904,-11.71779015
4/8/12,11.47605777,14.91143302,4.579138322,252.2880861,626.3694084,29.48433313
4/15/12,-6.562521977,30.77665697,17.33786848,18732.49611,599.4792826,23.92774686
4/22/12,-9.601988722,13.63757805,3.158730159,7469.250866,-115.7915894,14.70315399
4/29/12,13.35741126,-9.505487598,-2.990022676,-9867.532311,117.7858174,38.79014636
5/6/12,-10.68456831,-10.65222382,0.86893424,-8922.708966,-54.79983509,-22.75685426
5/13/12,7.271826302,-0.802314472,-6.257596372,-15816.56369,42.13399299,0.858070501
5/20/12,-2.773651192,-10.95544339,-7.394557823,-33653.94575,70.60090703,30.73922902
5/27/12,-2.821247065,-14.11129444,-2.523809524,-33976.35676,-139.138322,-3.995464853
6/3/12,-4.871207593,-8.269551449,-5.655328798,-78462.48173,-126.4580499,-49.24943311
6/10/12,-1.923779053,-8.429898281,-8.802721088,-21947.95074,-316.122449,-3.691609977
6/17/12,-11.97920772,-1.59201878,-7.963718821,-16916.73793,-297.6621315,-12.06575964
6/24/12,1.962260126,-10.75559679,-4.154195011,-39726.97154,-323.5419501,-15.3877551
7/1/12,3.898586518,-3.920316175,2.659863946,-52373.84734,-155.4761905,3.301587302
7/8/12,-19.1702589,-8.085860769,-5.482993197,-62950.25198,-457.8321995,-23.85487528
7/15/12,-1.244276119,-8.251914425,-10.62811791,-22789.1299,-351.4421769,-9.192743764
7/22/12,-5.323465148,46.58183901,10.19727891,-23875.17613,624.2902494,-6.68707483
7/29/12,15.59217402,87.41571568,48.97959184,-15716.57135,309.7732426,-2.337868481
8/5/12,9.502641372,12.25003175,5.553287982,-9879.005907,147.8435374,-35.44671202
8/12/12,3.407936922,62.08510336,6.002267574,-6439.828987,389.2879819,17.07936508
8/19/12,-10.71705361,23.91615324,-4.621315193,-7121.353244,378.9365079,-39.62585034
8/26/12,-8.844527587,25.74539721,-2.462585034,-9750.381598,291.4489796,11.08843537
9/2/12,-2.975606435,14.57745193,-8.709750567,-41397.85171,-59.34240363,34.6031746
9/9/12,-3.102471051,7.413627119,-12.19501134,-40017.16452,-105.7913832,-10.96371882
9/16/12,-2.222334462,-10.73982767,-13.93424036,-30519.09452,-32.58956916,-11.90022676
9/23/12,5.656899909,-15.90150055,-11.87981859,-29619.02818,-229.7777778,-12.96145125
9/30/12,1.530643848,0.937181308,-13.02494331,-57039.86459,-262.7936508,13.73696145
10/7/12,-3.600095209,-0.222314195,-11.29705215,-32591.25744,-176.8548753,-10.44444444
10/14/12,15.26875493,-6.382177104,-22.67120181,-50270.87625,-272.4852608,-34.76417234
10/21/12,-16.87228767,-11.53192322,-16.22222222,-48899.86517,-291.8639456,-2.394557823
10/28/12,-10.01764811,-6.678079375,-24.8707483,-68266.59377,-200.8911565,-4.056689342
11/4/12,1.853430608,-20.81833405,-27.63718821,-67364.50745,-409.8253968,3.20861678
11/11/12,-10.26956493,-0.940469647,-27.48979592,16873.98965,-93.04988662,-12.70521542
11/18/12,-19.38401253,-11.04860733,-38.48752834,-13990.27461,-274.7460317,-29.86394558
11/25/12,-17.4860509,-19.14687486,-41.70294785,40372.15094,-310.1201814,-79.45124717
12/2/12,9.406526451,-20.2257569,-45.1723356,-34013.75342,-169.1292517,-51.53741497
12/9/12,1.29292445,-7.292172432,-40.73469388,34739.36,215.1405896,-20.60090703
12/16/12,-2.820559267,37.64353558,0.64399093,102543.6376,572.4013605,-14.67346939
12/23/12,42.05190357,72.57653087,145.1496599,448268.4986,339.1269841,92.37188209
12/30/12,-0.050644995,15.51321788,21.3537415,-9327.518991,-109.5873016,-9.904761905
1/6/13,-0.158013074,5.452586333,1.832199546,-12879.69859,15.76417234,54.03854875
1/13/13,2.754149598,14.39955641,34.47165533,91859.08265,246.1360544,69.6462585
1/20/13,18.65191236,-2.642134855,121.4875283,129357.0833,196.4444444,66.90022676
1/27/13,2.570717705,-10.67734824,35.2675737,30987.84354,168.5759637,20.65306122
2/3/13,14.48387646,-0.702768537,24.44897959,1432.054422,383.814059,62.60770975
2/10/13,14.41014304,-6.728502843,17.00453515,87458.99773,-69.26530612,-35.97959184
2/17/13,17.36259428,1.263923053,27.89569161,117915.5329,371.7006803,-8.43537415
2/24/13,6.33637422,1.268867365,-5.882086168,48776.81633,138.9206349,-48.73469388
