"","Data","Trend","Seasonal4.35","Remainder"
"1",1090148,5326683.78613495,-1746875.65747045,-2489660.1286645
"2",8218339,6573525.34428394,1448773.99105707,196039.664658992
"3",9878909,7697957.82239339,-686672.157538508,2867623.33514512
"4",11081709,8777242.84487296,886066.937901133,1418399.2172259
"5",8117051,9651606.19421359,-1559050.94466232,24495.750448728
"6",10956916,9658603.34161232,1460004.17160849,-161691.513220817
"7",8054647,9777772.98902621,-843237.819102023,-879888.169924185
"8",10753495,10233803.4416445,824198.453037019,-304506.894681484
"9",9094874,10858207.4307868,-1361995.46691815,-401337.963868659
"10",14027271,11477730.1993881,1477176.19655805,1072364.60405388
"11",11387587,11899291.720291,-997549.95545178,485845.235160807
"12",12794498,12034454.3971236,761773.292530973,-1729.68965456635
"13",11343832,12041832.8604434,-1168300.83090288,470299.97045943
"14",11863215,12026878.4624941,1503484.65853904,-1667148.12103315
"15",12392405,12094666.8227581,-1157996.93042371,1455735.10766558
"16",11734999,11462782.5845643,707276.073946335,-435059.658510622
"17",12848334,10528980.3408316,-975834.701639583,3295188.360808
"18",12542193,9571971.23655994,1531663.33926521,1438558.42417485
"19",3974271,8518580.40748515,-1313385.9563191,-3230923.45116605
