"","x"
"1",10902.5641659214
"2",6608.42383486134
"3",-2125.16115094239
"4",-1011.31643114918
"5",-3437.50480597116
"6",-2314.3253290407
"7",1142.91283080044
"8",-7931.50204686304
"9",-1654.81467654516
"10",-1401.80623018916
"11",-4169.00475103068
"12",-6703.72925686552
"13",-2121.88530264205
"14",3624.18943004195
"15",-13111.1347864912
"16",-2886.67234264928
"17",-498.339838026477
"18",4890.7962990412
"19",987.548505246661
"20",-436.959318612346
"21",3603.40832672825
"22",1874.82101248167
"23",2615.57419473118
"24",-3183.73922859456
"25",-3686.9246417368
"26",1558.88309423838
"27",-3075.45882463032
"28",4554.97841372564
"29",3749.18534466351
"30",3360.04042350211
"31",8138.21113001707
"32",7127.68191062339
"33",13371.6198919882
"34",8222.56611495984
"35",82.8705857714449
"36",12828.138683578
"37",7598.8159121922
"38",10821.0078067716
"39",6771.76704792954
"40",3906.41440656066
"41",2931.58893567415
"42",2010.67873702837
"43",1252.89138368203
"44",-1364.291879356
"45",1876.09965664644
"46",1649.04569139293
"47",5383.37442756266
"48",9010.21744672215
"49",7382.35528470777
"50",-2577.08823804911
"51",110.663398424738
"52",5601.28273622203
"53",-89.9892542703819
"54",-7818.24740853062
"55",-5495.11432226789
"56",-2583.985272126
"57",-10704.4023942071
"58",-10318.0436235241
"59",-17773.9042713817
"60",-6514.34701452197
"61",-13626.0353053169
"62",-6811.47339588046
"63",-18700.4994611371
"64",-5794.10306569008
"65",739.348268281072
"66",-3177.36267056318
"67",-4906.12745749389
"68",138.672057392076
"69",-5715.60116490095
"70",-5898.4400524165
"71",275.325633119886
"72",-5959.40749956836
"73",-1578.57533939888
"74",-3105.17020622376
"75",-189.431168962379
"76",-4330.31787514301
"77",2662.58166858102
"78",-4826.05388350925
"79",-5013.44619811127
"80",-1860.74383455762
"81",-9145.6437776598
"82",-6572.64224453903
"83",-2846.57015438918
"84",-2060.3298645733
"85",-4108.59464645496
"86",-2272.89257213446
"87",-5408.11961721995
"88",-1645.27584279188
"89",2712.543272713
"90",6229.11382176542
"91",4772.95311078886
"92",325.086152231124
"93",2266.34154312951
"94",-1044.97783006674
"95",-86.9208345693114
"96",-4332.0790386593
"97",-9278.30841478455
"98",-12983.2883461273
"99",1223.15793134324
"100",3774.64019005442
"101",-385.446240235397
"102",4150.69885598508
"103",3293.44955387292
"104",-30.9783139391002
"105",4755.13990660224
"106",2323.85906567646
"107",602.929514457297
"108",1911.26195683923
"109",91.0052570964253
"110",2755.37056781643
"111",3883.66401756519
"112",2995.6055378638
"113",-1865.24476748431
"114",-5732.48193388169
"115",-267.398696286589
"116",1615.12974624927
"117",1760.68066590065
"118",5934.00219236034
"119",3953.11696642034
"120",-393.42596806433
"121",2055.11091881883
"122",2382.23343397162
"123",2137.54472739222
"124",-2511.11191290746
"125",-2709.81382920832
"126",2153.08558602555
"127",5898.92316447671
"128",4228.79657969539
"129",1458.54961336966
"130",3553.29386484617
"131",2406.61006390316
"132",-47.8222361100488
"133",-677.297193744715
"134",3737.51246340607
"135",4132.34685392195
"136",2921.40624973395
"137",16.2002961177714
"138",-1379.86676938449
"139",-2203.43478924954
"140",2360.87172758485
"141",3724.96050442358
"142",-850.757735870728
"143",-146.42783395452
"144",2058.56130668954
"145",238.424932025839
"146",3911.05023400917
"147",1573.56558488614
"148",-14818.7723887698
"149",1994.2642512718
"150",2387.93670584189
"151",-1512.37378074961
"152",7891.46671788079
"153",7101.05924006844
"154",1980.53881215428
"155",8777.08632108603
"156",-1118.22335371087
"157",-1515.17728211795
"158",-438.494613404058
"159",-3169.70020681567
"160",-2428.48405575693
"161",171.725904224892
"162",642.093347101581
"163",1160.44142515696
"164",1689.53239612428
"165",-3126.9875729526
"166",855.046267460631
"167",-2240.06646182835
"168",-4704.11792329195
"169",-3408.48109433705
"170",-4202.67226897912
"171",-3562.12218848706
"172",-7271.0396535671
"173",-3393.8573240574
"174",-6173.27162013725
"175",-4020.00847561661
"176",904.825106079879
"177",-2106.35269000023
"178",2212.87626362921
"179",-1427.22099716479
"180",-3338.90321115265
"181",-3182.43819573041
"182",-287.783841227407
"183",-2924.35713554492
"184",3401.9848413703
"185",-9824.10336266042
"186",14446.4222520333
"187",-4395.36626992573
"188",-414.268103539325
"189",1803.95811888701
"190",3061.63892767514
"191",-2940.91582639515
"192",963.324821744231
"193",-2744.48790308883
"194",-338.51013346851
"195",-386.997862620672
"196",-110.112106569097
"197",-4431.78454312147
"198",-1120.16362573024
"199",-2425.51827557788
"200",-5935.16200679645
"201",-1902.02042999258
"202",-793.486915767557
