"","Data","Trend","Seasonal7","Seasonal30.44","Seasonal365.25","Remainder"
"1",81813,65637.0766851411,4701.98811739076,-5.97006499373968,-1683.86120327135,13163.7664657332
"2",89230,65594.2551790248,6979.63864280175,1478.8914109052,1734.36645230023,13442.848314968
"3",98243,65551.4336729085,21093.9946105992,63.8721910508095,3583.52309266031,7950.17643278127
"4",94848,65508.6121667921,21165.0914801134,-4768.06201220975,5264.34076788999,7678.01759741422
"5",39017,65465.7906606758,-40046.845524589,628.853745422871,631.983153568334,12337.217964922
"6",71051,65422.9691545595,-9633.88222202336,-111.159379501748,2454.91821911751,12918.1542278481
"7",79855,65380.1476484431,-4134.81126093675,290.435097030027,10483.9432900256,7835.28522543799
"8",94026,65337.3261423268,4606.15555744891,1186.63266605048,6862.40901543432,16033.4766187395
"9",92650,65294.5046362105,6902.6469621076,693.053681788754,2068.38536103228,17691.4093588609
"10",106416,65251.6831300941,21201.0615700978,-232.732393584708,3905.52339458521,16290.4642988075
"11",109449,65208.8616239778,21101.8652920171,713.686429022141,5211.93875569617,17212.6478992867
"12",50435,65166.0401178615,-40150.7718679986,1608.9760268454,-141.839591935771,23952.5953152275
"13",79991,65123.2186117452,-9587.52716535056,3436.92078214636,-679.152083013563,21697.5398544726
"14",93232,65080.3971056288,-3947.88224940341,2296.19351614931,10605.0978396002,19198.1937880251
"15",101449,65037.5755995125,4513.16969553782,3868.89264474995,3069.47160578247,24959.8904544173
"16",104494,64994.7540933962,6829.69146965649,3858.57062102012,2543.62902288287,26267.3547930443
"17",106305,64951.9325872798,21314.2939266819,1215.06262471945,-918.135305143643,19741.8461664625
"18",112615,64909.1110811635,21047.6594465849,1890.57312597043,-966.020863787304,25733.6772100684
"19",43415,64866.2895750472,-40242.4902787315,1908.37110628261,-1121.23283415819,18004.06243156
"20",61832,64823.4680689309,-9526.28418761711,-239.426627356102,-2468.18112764314,9242.42387368551
"21",76447,64780.6465628145,-3745.20502156193,477.872359984966,918.81112621575,14014.8749725467
"22",87750,64737.8250566982,4343.58190777799,702.502869917857,-43.5245705203621,18009.6147361263
"23",82045,64695.0035505819,6608.05372025918,-2543.88952745742,4953.34523016917,8332.4870264472
"24",94030,64652.1820444655,21539.286833404,-3003.40479684707,3528.615193422,7313.32072555556
"25",100999,64609.3605383492,21007.3174371024,-684.123439864339,980.800582755402,15085.6448816574
"26",38719,64566.5390322329,-40465.1501588031,-2586.97114227631,7.2214031283647,17197.3608657182
"27",63489,64523.7175261165,-9483.44544323524,-1919.84558698612,-1118.98473921156,11487.5582433164
"28",69113,64480.8960200002,-3219.36486383567,-5511.17590481349,4274.92358733974,9087.7211613092
"29",69745,64438.0745138839,4142.52366882035,-3569.75519916213,4607.09472779085,127.062288667046
"30",72475,64395.2530077675,6360.92247068413,-978.089295897421,3956.1727299506,-1259.25891250487
"31",105383,64352.4315016512,21750.6079793899,-46.5041592464327,2637.3826618972,16689.0820163081
"32",95657,64309.6099955349,20970.9063759704,1699.31440043143,1510.39586941562,7166.77335864761
"33",33981,64266.7884894186,-40661.1000244041,251.95613676127,4665.24057976039,5458.11481846387
"34",81743,64223.9669833022,-9388.78096899693,-4846.06720338512,9999.18873908083,21754.692449999
"35",83174,64181.1454771859,-2618.62212249434,620.947913374959,9666.18326872004,11324.3454632134
"36",85491,64138.3239710696,3855.35770017554,-61.2813213196735,8687.09074413665,8871.50890593793
"37",92499,64095.5024649532,6124.31367420039,305.195659103672,8813.51622601669,13160.471975726
"38",107776,64052.6809588369,22155.2242196004,1158.26910098484,8193.70511231494,12216.1206082629
"39",101369,64009.8594527206,20118.0104625327,653.154314613937,7988.3378643288,8599.63790580397
"40",40490,63967.0379466043,-41091.1420695194,-250.738478949698,13209.0065034638,4655.83609840111
"41",76439,63924.2164404879,-8812.00996636218,668.206496270473,14825.4262226195,5833.16080698433
"42",85615,63881.3949343716,-1756.06765420329,1493.82029340599,15099.0877628244,6896.76466360129
"43",98091,63838.5734282553,3571.89911697185,3290.76830139413,15814.9541288479,11574.8050245309
"44",94362,63795.7519221389,5866.76826191714,2185.79336487048,11356.4456556485,11157.240795425
"45",112650,63752.9304160226,22516.2771894646,3732.64371679007,12141.5085271751,10506.6401505476
"46",109341,63710.1089099063,19202.9008086612,3646.21051112009,8418.01777709783,14363.7619932146
"47",41863,63667.2874037899,-41597.8389472576,1192.18214347746,4132.21626458644,14469.1531354038
"48",65276,63624.4658976736,-8324.06798860019,1811.04003179771,5396.64405147933,2767.91800764954
"49",81114,63581.6443915573,-991.978493668882,1874.30931813097,7352.5390610554,9297.48572292523
"50",82926,63538.822885441,3747.07726726128,-205.271414433044,8470.42792280295,7374.94333892787
"51",83661,63496.0013793246,6391.91728184071,418.126965128377,2962.56351640049,10392.3908573058
"52",94624,63453.1798732083,21776.1101983465,659.681343631942,11226.6011713622,-2491.57258654899
"53",98311,63410.358367092,18002.6513976097,-2392.74476799413,20994.8121939947,-1704.07719070229
"54",37347,63367.5368609756,-41153.6574491901,-2922.14762786717,20723.3122790585,-2668.04406297691
"55",72818,63324.7153548593,-8046.1525149146,-767.017881620062,17320.2254358063,986.229605869034
"56",79179,63281.893848743,-446.408867951935,-2516.38552422067,23728.918768563,-4869.01822513335
"57",79887,63239.0723426266,3906.53689974236,-1859.63587905007,25588.2690699131,-10987.2424332321
"58",88326,63196.2508365103,6915.72729485435,-5499.92949706077,33247.6096754521,-9533.65830975601
"59",104817,63153.429330394,21049.2022935158,-3330.68665211518,27143.0245056764,-3197.96947747102
"60",100346,63110.6078242776,16833.3357595102,-797.124668295132,32135.168485957,-10935.9874014497
"61",40326,63067.7863181613,-40658.6904744572,-87.4264238010097,27127.6573847734,-9123.32680467654
"62",73851,63030.266913239,-7699.19739214996,1919.3176872041,32212.216205542,-15611.6034138351
"63",76977,62992.7475083166,181.089676228194,439.588847266491,23287.229281099,-9923.65531291027
"64",78230,62955.2281033942,4068.27889184669,-4924.55881495445,12757.5626406898,3373.48917902374
"65",81794,62917.7086984719,6958.4115082437,612.520475744376,15365.6947629639,-4060.33544542385
"66",91007,62880.1892935495,20554.8532343646,-11.9358208694193,14406.8710799228,-6822.97778696752
