"","x"
"1",13163.7664657332
"2",13442.848314968
"3",7950.17643278127
"4",7678.01759741422
"5",12337.217964922
"6",12918.1542278481
"7",7835.28522543799
"8",16033.4766187395
"9",17691.4093588609
"10",16290.4642988075
"11",17212.6478992867
"12",23952.5953152275
"13",21697.5398544726
"14",19198.1937880251
"15",24959.8904544173
"16",26267.3547930443
"17",19741.8461664625
"18",25733.6772100684
"19",18004.06243156
"20",9242.42387368551
"21",14014.8749725467
"22",18009.6147361263
"23",8332.4870264472
"24",7313.32072555556
"25",15085.6448816574
"26",17197.3608657182
"27",11487.5582433164
"28",9087.7211613092
"29",127.062288667046
"30",-1259.25891250487
"31",16689.0820163081
"32",7166.77335864761
"33",5458.11481846387
"34",21754.692449999
"35",11324.3454632134
"36",8871.50890593793
"37",13160.471975726
"38",12216.1206082629
"39",8599.63790580397
"40",4655.83609840111
"41",5833.16080698433
"42",6896.76466360129
"43",11574.8050245309
"44",11157.240795425
"45",10506.6401505476
"46",14363.7619932146
"47",14469.1531354038
"48",2767.91800764954
"49",9297.48572292523
"50",7374.94333892787
"51",10392.3908573058
"52",-2491.57258654899
"53",-1704.07719070229
"54",-2668.04406297691
"55",986.229605869034
"56",-4869.01822513335
"57",-10987.2424332321
"58",-9533.65830975601
"59",-3197.96947747102
"60",-10935.9874014497
"61",-9123.32680467654
"62",-15611.6034138351
"63",-9923.65531291027
"64",3373.48917902374
"65",-4060.33544542385
"66",-6822.97778696752
"67",-320.12295174531
"68",-4253.50314177925
"69",364.18298152346
"70",1800.52753695154
"71",-3375.36275021733
"72",-850.601995993136
"73",2210.61962670329
"74",311.644233402832
"75",-28.3142044686683
"76",-238.399997678331
"77",-5439.1396815413
"78",-4706.91046155577
"79",-6921.16952415801
"80",-5823.55669054499
"81",-83.6916632754437
"82",4062.74090037207
"83",-2774.50936198162
"84",844.038321940578
"85",-779.146574056533
"86",5452.8051235907
"87",-1861.26638583816
"88",-5837.07572514761
"89",-13007.0290876846
"90",-2680.82936570056
"91",-797.82617607306
"92",338.606252126548
"93",-6751.81651337998
"94",-2620.1500750559
"95",-7839.71219671379
"96",-3308.01731000798
"97",-1304.21826961196
"98",-5041.482097748
"99",-9312.38470752205
"100",-2343.51932308245
"101",745.183574584073
"102",-144.583657236821
"103",-4725.48994563925
"104",-6460.51934792414
"105",-5265.60996627186
"106",-1009.35442198915
"107",-8394.04624964041
"108",-5098.58244510936
"109",-626.355066699449
"110",-834.600844064531
"111",-3581.67769254391
"112",-5714.8942564899
"113",-8320.77358315397
"114",-152.645432525504
"115",-5399.74343948391
"116",-3813.85416373928
"117",-468.898626862021
"118",9.00755513922923
"119",-1753.77464087895
"120",-2015.99679465027
"121",-5687.06295063085
"122",-5237.37651713414
"123",-4801.10436639284
"124",-3820.23689963365
"125",-924.081846860499
"126",-541.119241110406
"127",-5706.74276116622
"128",-3822.02312965025
"129",-3063.05263591904
"130",-8222.91798722999
"131",-9781.31851065051
"132",-5618.94794954082
"133",-10200.4936131813
"134",-5859.7988952499
"135",-9198.51323018574
"136",-12641.9216353576
"137",-8275.56310852081
"138",-3837.67974710264
"139",-2367.86210611345
"140",-7427.83586070409
"141",-8050.31316602964
"142",-5283.00512362904
"143",-5670.82307054572
"144",-5456.24052804837
"145",1208.38797786062
"146",-22930.3677505384
"147",-3215.55504548234
"148",1239.09259066013
"149",-2148.6419816271
"150",-627.829823947934
"151",-2842.29175814096
"152",-8343.62673700634
"153",-1006.53637485868
"154",-3431.88026182231
"155",-6890.30422646541
"156",-4698.34948597367
"157",-6542.37870200785
"158",-6511.20512631554
"159",-7622.45281269496
"160",-2668.16073603743
"161",-5964.70648393471
"162",-7145.65116561565
"163",-8786.67683517151
"164",-8965.54354507958
"165",-7129.17640963157
"166",-12035.1910015011
"167",-12065.3709783668
"168",-10744.8543114744
"169",-15836.7001876337
"170",-5678.39406097433
"171",-13472.4074746859
"172",-9060.30096783693
"173",-8568.4618810531
"174",-8456.85269365557
"175",-7143.86837921671
"176",-3101.75871370581
"177",-4661.89761982517
"178",-10313.422935941
"179",-6208.80429824552
"180",-5737.88597958729
"181",-2059.87090951885
"182",-11518.4681017238
"183",-1487.61959334068
"184",-20802.5824676094
"185",7474.81410474253
"186",-13718.6305932967
"187",-7155.69496371485
"188",-3155.06267164314
"189",-5085.01396196798
"190",-10139.5362427831
"191",-3935.67963072114
"192",-9755.24471149065
"193",-4530.19050597692
"194",-6300.81743623296
"195",-10799.7830235724
"196",-4220.18605975646
"197",-7488.54325005277
"198",-2971.11625087451
"199",-10407.7056899013
"200",-7736.73049050037
"201",-2281.53574367744
"202",-5122.15058018702
"203",-6235.38119621167
"204",-6214.07984628314
"205",-3926.21937189095
"206",-1950.86679932898
"207",-1969.04203585099
"208",498.192124019457
"209",-3443.23569323146
"210",-4243.90418273333
"211",3569.84647979701
"212",-2214.50466423097
"213",-5402.4297640635
"214",461.619280226245
"215",-4730.60670029267
"216",713.786666710439
"217",-3639.49871952178
"218",-6017.7332496575
"219",-2561.84455219321
"220",-4286.78507444839
"221",-5413.93765426122
"222",-11526.880549371
"223",-4817.68048684942
"224",-492.345501536329
"225",-5377.51453083777
"226",-4484.48634707107
"227",-7424.75760817878
"228",-3890.49210659532
"229",-2585.02970651536
"230",-1125.59748642465
"231",-5736.6632348694
"232",-3043.0244265993
"233",-3284.49737878049
"234",-3704.0798181512
"235",-1481.00440743295
"236",-1821.06087629314
"237",-1521.05368625493
"238",-3156.75547197009
"239",-7858.84123264589
"240",-8202.28363288721
"241",2798.71980727289
"242",-8685.75885076446
"243",-1817.00711503196
"244",-19226.7811525746
"245",-3154.89054123448
"246",-823.570191933912
"247",-243.15476274972
"248",-3087.82978135578
"249",-2558.68071513927
"250",-5101.19475252703
"251",-374.106170761188
"252",-5895.7361383371
"253",-4782.43960441823
"254",-3350.97826004911
"255",-1027.26024474589
"256",-5643.72763794912
"257",-4602.36921255167
"258",-876.780650495981
"259",1281.21860672353
"260",-4631.85993782432
"261",-6336.68026158628
"262",-4630.00000272592
"263",-845.624513696683
"264",-1390.98234718356
"265",-167.81599063296
"266",-3098.62245403189
"267",5550.47409141758
"268",6706.99323032372
"269",-74.0639813149464
"270",10655.9492930085
"271",6294.92686487359
"272",-985.316651153124
"273",2688.87364598651
"274",1360.04980932458
"275",-1065.62264662055
"276",659.950517128389
"277",-4511.01239175416
"278",-852.301954173156
"279",8862.20979798266
"280",5841.92516625519
"281",3489.09690373711
"282",5044.72920013293
"283",602.332165692816
"284",5122.95624599267
"285",5092.34516255095
"286",1647.86795668668
"287",2019.30189675342
"288",5397.32862032636
"289",3068.52349365015
"290",3139.22894284164
"291",472.477825003814
"292",3881.25070898823
"293",6533.54460568725
"294",-3298.50744904624
"295",222.022416216234
"296",-2525.70071123563
"297",-2496.86606928529
"298",2525.6289303711
"299",-1564.00386677443
"300",-3167.99856621911
"301",3122.83343086151
"302",-10027.6429568805
"303",-2919.26365032645
"304",5314.64443713452
"305",-2661.62963368745
"306",-4063.73538752446
"307",-3011.5555107809
"308",-5740.34469403166
"309",-2167.08629585788
"310",5320.08451086935
"311",-8348.74136571309
"312",-2900.24372701554
"313",-1771.08931300284
"314",-5691.60787809737
"315",3597.3480007395
"316",3965.8177076368
"317",9857.16744316136
"318",-11265.4572619926
"319",-945.930479166876
"320",-458.009082593999
"321",319.314273182681
"322",-1064.03594365193
"323",-3661.19616066955
"324",7459.35776433696
"325",-9351.96488754039
"326",-4173.79732682665
"327",-9148.27069046161
"328",-8960.99838608296
"329",-9784.80514476226
"330",-274.036981543992
"331",-48852.1783366884
"332",35122.0361216214
"333",-11226.876006759
"334",743.001298526433
"335",-9170.71048544979
"336",-7618.52876537338
"337",-8620.94410587598
"338",-9862.77488830478
"339",-20294.1048799685
"340",-8072.5186791964
"341",-3210.87405531666
"342",368.95029675671
"343",-6720.86880326297
"344",-7441.2689533018
"345",-6424.05820873072
"346",-10521.8198224194
"347",-1384.14626394013
"348",-4740.48146974444
"349",-10938.250473312
"350",-5774.01879576225
"351",-765.464848263742
"352",-13220.1818180834
"353",-3979.91340449559
"354",-842.988493592609
"355",-22213.9657551818
"356",-1101.34101605426
"357",-12307.7830155426
"358",-14693.8324335089
"359",32440.1065867785
"360",-6116.85755891244
"361",-6877.74189434046
"362",-12767.9602455755
"363",-7457.7054801315
"364",-11298.6645633232
"365",-16091.1258274259
"366",-3383.70156309956
"367",-13327.3519935279
"368",-15090.329535941
"369",3735.81578931566
"370",204.948696571206
"371",4128.58676969117
"372",-1758.54288668135
"373",-13590.0093279233
"374",-9223.78790238505
"375",-5538.85036505519
"376",-6764.77483579167
"377",-7641.02268158013
"378",519.256134555704
"379",-591.684295262232
"380",-6237.16940416517
"381",-5449.45852796941
"382",3251.05552421387
"383",1105.39563311557
"384",-13696.206639475
"385",-356.721642245815
"386",3126.27825752088
"387",-742.355037991001
"388",8.7549474267289
"389",-9048.1138472836
"390",-39.21311223659
"391",1428.69079361796
"392",-14356.5826422341
"393",-11784.3144905721
"394",-12168.617619494
"395",-6803.00396150109
"396",-7057.44061638646
"397",-10535.7584114281
"398",2296.7510245473
"399",-1057.14304341886
"400",-11268.1158665756
"401",-3548.03882800029
"402",1186.00350986196
"403",2566.82052735765
"404",4089.64237072796
"405",7882.02615845118
"406",539.997314799781
"407",3426.9225705658
"408",-3127.99300404158
"409",6274.20203154052
"410",11869.150425311
"411",11180.2268399953
"412",2892.02413226981
"413",5247.06028854749
"414",2347.0922203798
"415",23929.8429073805
"416",11596.160875968
"417",8755.30470066073
"418",4232.12915242096
"419",-6731.47139539204
"420",-4514.28167087595
"421",31580.4772615393
"422",36427.4513225968
"423",44957.0715890452
"424",46808.3743123605
"425",40444.7035736412
"426",31076.1616293013
"427",64675.2616347487
"428",51596.5322763064
"429",2693.89828239063
"430",2256.09237354511
"431",3883.29924187141
"432",7040.6815597339
"433",32302.2303406624
"434",11454.8497994728
"435",-5017.70447173788
"436",13630.8778240825
"437",2499.98394811179
"438",6202.06439138121
"439",5394.55419894469
"440",3451.72407134645
"441",-2588.36268075947
"442",7149.18217382544
"443",-919.363135597261
"444",11839.4926211405
"445",2960.15421429858
"446",1369.15654371374
"447",1950.98362766065
"448",7193.42858081465
"449",7750.80927696077
"450",16927.032518612
"451",5575.45445514654
"452",-1842.08144730444
"453",2432.02363074674
"454",-2085.1462898626
"455",1303.50173605077
"456",-5213.51741562605
"457",-5505.12999155591
"458",-6042.33947844503
"459",8654.6295150087
"460",7366.57207751167
"461",5849.11955870577
"462",-1943.15036942288
"463",-2668.04053546771
"464",110.938358012871
"465",6272.96521974926
"466",723.049506371703
"467",6478.95892222997
"468",3583.39010282545
"469",8275.04454676159
"470",-2446.20587054782
"471",4978.31038980349
"472",4621.12038458029
"473",370.070593946075
"474",-2513.19910482112
"475",2971.55763967791
"476",335.240184705428
"477",11580.0355183405
"478",6667.86708771253
"479",523.772677114692
"480",5696.68222062315
"481",4781.13795716737
"482",-6130.895896502
"483",-4556.32770255666
"484",-3211.16299237722
"485",-4785.48135216083
"486",-3665.44142745478
"487",-8680.90944360447
"488",-7100.58043703945
"489",6901.10692276732
"490",-349.159353928866
"491",-2905.47516328142
"492",-1024.72855307932
"493",-4601.48101673256
"494",-191.520991858561
"495",-3358.31913096797
"496",-494.187750246609
"497",-4056.66674166499
"498",433.981432492794
"499",200.747123831155
"500",2623.08171875419
"501",4297.67131666942
"502",1563.24132335318
"503",5269.99592024926
"504",3620.4976456238
"505",-464.127047818947
"506",-1936.23360157215
"507",-1662.70516561247
"508",-4925.40509945128
"509",6319.83307369013
"510",-14586.2318262504
"511",5342.45149471446
"512",286.238694484309
"513",189.412864349491
"514",4682.4251800849
"515",4220.82893574029
"516",213.653848678725
"517",-3084.5962628405
