"","x"
"1",-7.8502092849905
"2",-9.585019367215
"3",-32.9723904405045
"4",-19.5948429662644
"5",-25.8776580450775
"6",-5.57424051737442
"7",-7.22323761871771
"8",-4.68806891882983
"9",-0.178356180221314
"10",-18.7191200605209
"11",-5.58327718838738
"12",0.556306150790498
"13",4.33184202399193
"14",1.82426873915148
"15",15.9902293047276
"16",29.8254321019818
"17",27.6964133084764
"18",37.6870001015515
"19",26.6929653512295
"20",23.5708785170182
"21",32.4860542868894
"22",22.926648597355
"23",19.6644486895878
"24",11.6062466329847
"25",53.0852155652557
"26",43.762702728832
"27",43.9297382859211
"28",14.0400940669035
"29",21.1834906628598
"30",11.2193812594654
"31",71.6162823540668
"32",27.6046615210714
"33",26.6870356667869
"34",16.2629111562839
"35",38.3126389025539
"36",41.9593174261719
"37",44.8910454795833
"38",25.2703600969803
"39",14.2835053676072
"40",21.026218303237
"41",26.5438350226672
"42",24.8128712457721
"43",18.7079497334662
"44",13.427218036249
"45",29.3505659003471
"46",5.13033714985655
"47",6.48128069679911
"48",11.0765426085566
"49",-0.497516466435634
"50",-3.83144265938664
"51",6.03757068224395
"52",-22.2356006591923
"53",-2.32433443628447
"54",22.6227622758714
"55",-0.788234377835117
"56",20.6074697561749
"57",12.8392117707456
"58",-3.0679045817141
"59",15.7051993913168
"60",13.7842496440741
"61",9.18227597508768
"62",7.24273883602112
"63",-1.03553029857725
"64",4.80156640479757
"65",10.356284109941
"66",-3.777700840087
"67",10.6362690651893
"68",-1.95789370960224
"69",-3.78555566444433
"70",2.47834008291528
"71",-1.88066332688911
"72",13.4616236256878
"73",21.1827631466081
"74",-0.166051615412155
"75",-19.4313078230055
"76",-7.85561210566667
"77",-14.2534056986523
"78",-16.4900507250203
"79",-20.5006580187719
"80",-25.7506952688133
"81",-15.4053599358075
"82",-12.2337280237306
"83",-7.88793130809227
"84",-7.28771252339649
"85",-9.32110130252824
"86",-22.1481673917804
"87",-29.5689378126365
"88",-16.4025978255462
"89",-10.704016370308
"90",-5.50549747828993
"91",-18.3185536513143
"92",-10.9231496025817
"93",-7.07214253794252
"94",-7.52129590525784
"95",-18.8812985871595
"96",-11.0202720536347
"97",-9.46221602448071
"98",-2.11270964509773
"99",2.31275655868005
"100",10.2508314509125
"101",11.7532010761132
"102",7.43641076764268
"103",-0.654999827010808
"104",5.36335788794788
"105",2.42876051523596
"106",4.12862449898459
"107",1.55143891581225
"108",18.0124381311274
"109",26.3546191138928
"110",24.5868257358509
"111",0.525017844210431
"112",7.07574938160453
"113",3.34111774063844
"114",0.0374232761142146
"115",-12.2968207914107
"116",-12.4949610267986
"117",-9.56280704045806
"118",-2.37156329700417
"119",-7.68639557267807
"120",-0.786728897166132
"121",-10.4081052736981
"122",-8.15304622608823
"123",-1.56481312814145
"124",-1.66959026149747
"125",3.95130692518691
"126",-0.821117026135159
"127",-3.96866099298798
"128",0.58377417014751
"129",0.361505196702929
"130",-11.2300070035457
"131",-9.32396230112301
"132",-13.7590996701781
"133",-11.5412419078411
"134",-9.86170246033785
"135",-12.3448847054986
"136",-14.2493218914814
"137",-9.37594630955026
