"","x"
"1",-24.3972824017718
"2",-33.5237736647337
"3",-9.34896792004042
"4",-13.4371602109174
"5",-38.7532442779529
"6",-65.991973041598
"7",-79.4225020769554
"8",-41.5592791091291
"9",-47.6147005141803
"10",-30.933378963078
"11",-13.1800358725895
"12",-34.1066603545069
"13",-38.2067645112908
"14",-26.4554668962708
"15",-30.6720214649071
"16",-8.18595997571784
"17",-4.05415988964857
"18",-16.404513070951
"19",72.5395100612057
"20",25.1619360292252
"21",2.92884287102932
"22",5.12183100420772
"23",-11.8404951495841
"24",-39.4448656096198
"25",-39.9669166651057
"26",-45.597201970044
"27",-16.7871813896599
"28",-12.3756056051871
"29",-30.8996454978838
"30",-10.5917443584864
"31",-63.0790550814572
"32",-38.7784769720694
"33",-36.096587852713
"34",-20.3024211295833
"35",-72.226092517578
"36",-51.1366807307787
"37",-56.8925261920755
"38",15.2410718504044
"39",9.28882937835859
"40",2.93217604292884
"41",-19.0631291431091
"42",-13.8655598617062
"43",-2.04382605892472
"44",29.3061604704401
"45",-7.44046962632017
"46",-30.9291991050447
"47",18.964165702041
"48",-10.2324562579944
"49",92.5441130305231
"50",39.3490130880178
"51",-6.87902902912566
"52",5.69230938863268
"53",43.6129681919587
"54",-40.765165324721
"55",-5.21917724363519
"56",4.12789813862001
"57",8.17136393261269
"58",6.47073494700637
"59",-11.0585598504559
"60",-2.70187436135867
"61",-14.6879110211806
"62",7.9382367750078
"63",-38.2021617055622
"64",-20.5086131586046
"65",-36.569899172571
"66",-20.2283104202627
"67",-18.70961188764
"68",-22.0247752501196
"69",-8.47517851145815
"70",-74.3049473771188
"71",-37.0957033256881
"72",-37.2323253074532
"73",3.97489512691137
"74",6.39439612359542
"75",-11.0798649588469
"76",-1.09143720798127
"77",-103.267365343308
"78",-31.923549016918
"79",89.6943324982788
"80",11.7029854180338
"81",43.7282667171533
"82",-7.80123449385764
"83",-48.1815655978333
"84",191.041586173716
"85",21.6342687839131
"86",50.0916186979212
"87",10.6487303985401
"88",112.850625102927
"89",140.137325551863
"90",107.902409099614
"91",191.434722797151
"92",150.38437577967
"93",13.7517374785893
"94",115.156737020577
"95",171.618607649017
"96",170.672394867594
"97",74.9696182926676
"98",-36.828269851452
"99",-36.3923317837976
"100",-14.2369680329757
"101",-40.9821607918533
"102",126.864423513517
"103",5.94671601416901
"104",-86.7358996130831
"105",-57.7494101972998
"106",-49.2918768207602
"107",-8.69634604260268
"108",-36.2599175384948
"109",-996.367300062146
"110",-462.746712523664
"111",-114.731168574899
"112",-133.444858577398
"113",-117.701468089437
"114",-127.025284846715
"115",-39.4970175531223
"116",185.777212757202
"117",78.5192221544916
"118",21.4479764542148
"119",-38.383309504197
"120",90.8105421973925
"121",-33.9057179358811
"122",-71.2544740560342
"123",70.1839196443742
"124",3.88047664359635
"125",-49.28478450662
"126",4.24447169384766
"127",-32.1038607049802
"128",42.2808421042358
"129",25.8773969198474
"130",246.163690263778
"131",81.3054418511543
"132",8.02549527379669
"133",82.7027817443946
"134",79.8902115154766
"135",58.4687678032679
"136",83.7306019946694
"137",113.827089414566
"138",94.9340717973951
"139",234.410796111131
"140",175.128097582726
"141",90.6494557404657
"142",63.1309113080595
"143",113.034286597423
"144",70.7218713774812
"145",119.380740047499
"146",-52.2619445478418
"147",-52.3780956391664
"148",-37.0036437338424
"149",7.22182510290702
"150",-3.02397462903097
"151",-3.59526128059148
"152",21.2157811737587
"153",56.0920631630827
"154",-1.33346907709979
"155",37.9426044843518
"156",63.2108960467145
"157",5.49075727875267
"158",-41.6894438973702
"159",44.1517740389946
"160",-4.25563921798555
"161",55.8040561538527
"162",-22.4663917742447
"163",-30.9442693420212
"164",16.4709659991002
"165",64.3547974069685
"166",11.2049125264033
"167",32.6476196430096
"168",52.8375201790489
"169",157.51604591052
"170",38.4342922907823
"171",43.6659090266159
"172",35.4085064089358
"173",-19.8771033187571
"174",-9.61882305374208
"175",-19.4727156410546
"176",-46.0809702531947
"177",8.50890710072515
"178",21.241150064664
"179",-13.195288792922
"180",-19.7606102672123
"181",-25.3729196816225
"182",-70.9963141667558
"183",-66.6884870647246
"184",-77.1971078022234
"185",-54.8847594245206
"186",-61.4921539183888
"187",-85.0129268251991
"188",-25.4255576357645
"189",-8.72082907071361
"190",-5.27965923371805
"191",-0.746707596877457
"192",-43.4488381027226
"193",-30.4899234610179
"194",16.5171824395673
"195",11.8095398282162
"196",-8.92164479161325
"197",-23.0752799748182
"198",-7.46078643897427
"199",36.6588943024479
"200",3.46614475359408
"201",-7.38931039296369
"202",16.5984009909713
"203",-18.1629314173507
"204",3.12992122333904
"205",36.3843798685935
"206",7.03936497457626
"207",70.8853471191604
"208",-10.2970904894865
"209",-12.2756909595716
"210",-83.2043214099977
"211",-11.0982402285143
"212",81.5491335333689
"213",107.110423515608
"214",44.5405253040089
"215",75.4025152608119
"216",41.8024869938652
"217",298.366243568224
"218",110.730619173794
"219",47.2342214758855
"220",-20.1696777371659
"221",19.6635303054575
"222",43.0114083545597
"223",-8.85644204881856
"224",-85.4060016531284
"225",-21.1525102031694
"226",-34.3287744870761
"227",-50.8170392922221
"228",-38.7569375719141
"229",32.7042381615466
"230",14.2934293417328
"231",-60.8400128959855
"232",-52.2260835186071
"233",-75.6847314193177
"234",-69.9531936270858
"235",-74.103902696915
"236",-35.9135668036317
"237",-20.5908646096142
"238",-57.6326387891722
"239",8.47951238399165
"240",2.60109071418447
"241",27.5660721903722
"242",31.8001973754732
"243",24.0486512090923
"244",17.7812772813455
"245",104.189843760801
"246",11.0014919472168
"247",-11.8752098039156
"248",92.8517379355319
"249",18.5337598736354
"250",-0.593379647978225
"251",23.5627237917472
"252",9.16463892100504
"253",77.3675225788596
"254",125.235512133962
"255",63.1685019142426
"256",69.9774721141008
"257",16.3493934281542
"258",41.852338526543
"259",97.4513876340497
"260",48.241475301615
"261",66.4521031272003
"262",27.5763499139949
"263",150.978116812022
"264",61.1658699061602
"265",6.39354408893716
"266",14.3501322044664
"267",20.1073453052636
"268",19.0668161549294
"269",27.7478001302092
"270",-39.2399142733512
"271",-4.11626680636114
"272",-2.4066880520401
"273",-39.8996417950363
"274",13.6821321464174
"275",-84.7582291439235
"276",-81.5221191872915
"277",-75.6276366592228
"278",-34.069683718689
"279",-16.6922990697378
"280",-38.7383730568418
