"","Data","Trend","Seasonal4.35","Remainder"
"1",0,7865.22021982109,-3414.59669051544,-4450.62352930564
"2",12693,9381.07526089003,-147.325458807712,3459.25019791768
"3",11089,10641.7199343611,3350.7498269283,-2903.4697612894
"4",19145,11656.0163319534,75.7405490650849,7413.24311898151
"5",11373,12294.8741598657,-3254.99870978758,2333.12454992185
"6",11387,11598.7853496692,-177.471907291409,-34.3134423777701
"7",9019,10746.1923800209,3559.1955484503,-5286.3879284712
"8",9028,10197.1799821843,-306.348751181138,-862.831231003191
"9",9862,10354.0708206717,-3076.63319334312,2584.56237267138
"10",11458,11146.9686276011,-194.170256998452,505.201629397385
"11",14074,11781.1938338034,3774.39278532355,-1481.58661912697
"12",10864,12867.3990375803,-687.053684526289,-1316.34535305398
"13",11535,15563.6689967981,-2906.49079767235,-1122.17819912578
"14",10272,17653.0640519049,-160.434958680602,-7220.62909322433
"15",41073,18708.3121610428,3903.6286931422,18461.059145815
"16",12755,17076.8334654238,-1008.97269176502,-3312.86077365881
"17",13785,14425.6837779843,-2742.10390131411,2101.42012332984
"18",17810,11408.324731517,-131.001503712052,6532.67677219503
"19",3557,8027.62360539928,4031.33433951782,-8501.9579449171
