"","Data","Trend","Seasonal4.35","Remainder"
"1",849,8744.26468117707,-3225.91360405888,-4669.35107711819
"2",14272,9881.3048404309,399.728777020598,3990.9663825485
"3",11508,10794.1335276728,3158.4940572247,-2444.6275848975
"4",17275,11491.9667310076,-459.462645141421,6242.49591413382
"5",10869,11778.4101722607,-3035.69510757775,2126.28493531704
"6",11292,10933.0828832011,315.472453899946,43.444662898959
"7",8254,10032.5561742615,3339.95714165536,-5118.51331591688
"8",8138,9401.15493758053,-786.191978222481,-476.962959358047
"9",8891,9432.1089185718,-2828.60334940816,2287.49443083636
"10",10601,10038.7715020088,242.958837538634,319.269660452537
"11",12819,10481.9162251777,3526.86457666186,-1189.78080183953
"12",9023,11430.6883892302,-1112.33331100902,-1295.35507822119
"13",9803,13940.6189707425,-2626.06632629259,-1511.55264444996
"14",9693,15986.6576626724,215.455946691014,-6509.11360936339
"15",37602,17152.3948651143,3637.40624179905,16812.1988930867
"16",11466,15647.7234744145,-1388.98253805595,-2792.74093635859
"17",13899,13215.5265023945,-2427.56256539144,3111.03606299691
"18",15687,10440.2020624184,185.68082287947,5061.11711470216
"19",3200,7298.30247866293,3748.50569635019,-7846.80817501312
